Abk;Name
Brdb;Brännlandsberget
Bre;Bränninge
Brg;Brännberg
Brh;Brattheden
Brin;Brinellskolan
Brk;Brokind
Brl;Brålanda
Brn;Brånan
Bro;Bro
Brs;Brattsbacka
Bry;Bankeryd
Brö;Bredsjö
Bs;Borås central
Bsa;Brastad
Bsb;Bensjöbacken
Bsg;Bispgården
Bsk;Bollstabruk
Bsp;Bestorp
Bst;Bastuträsk
Bsä;Bjärka Säby
Bsö;Borås övre
Bt;Baggetorp
Bta;Björktomta
Btb;Brattby
Btg;Bratteborg
Bth;Basthagen
Btp;Biskopstorp
Btå;Betåsen
Bu;Brunsbergstunneln
Bud;Buddbyn
Buk;Brunsberg
Bur;Buresjön
But;Buterud
Bva;Barva
Bvr;Blackvreten
Bvrn;Blackvretens norra
Bvrs;Blackvretens södra
Bx;Boxholm
By;Byvalla
Byhd;Byheden
Bym;Byarum
Byä;Byälven
Bz;Bruzaholm
Båa;Bergåsa
Båak;Bergåsa
Bål;Bålsta
Bån;Båstads norra
Båp;Brågarp
Båä;Bårnäs
Bä;Bräcke station
Bäb;Bäckebron
Bäf;Bäckefors
Bög;Brännögård
Bök;Björkhult
Bön;Bodsjön
Böo;Björbo
Bös;Brösarp södra
Cas;Callans såg
Cg;Charlottenberg
Ck;Karlskrona central
Cr;Kristianstads central
Crgb;Kristianstads godsbangård
Crs;Kristianstads södra
Crt;Kristianstad Tivoliparken
Cst;Stockholms central
Cst;Stockholm
D;Degerön
Dat;Dammstorp
Dbn;Degerbäcken
De;Deje
Dfl;Dala-Floda
Dg;Degerfors
Dgm;Degermyr
Dgn;Dalgränsen
Dgö;Daglösen
Diö;Diö
Dj;Dala-Järna
Dk;Dockmyr
Dkn;Dala kvarn
Dl;Dingle
Dld;Dals Långed
Dma;Dannemora
Dmn;Domnarvet
Dn;Dirhuvden
Dn;Dagarn
Dns;Dynäs
Dpg;Domprostegården
Dre;Derome
Drt;Dals Rostock
Dt;Dingtuna
Dta;Dorotea
Dtc;Dorotea campingplats
Du;Duved
Duo;Duvbo
Dvx;Duvnäs växel
Dy;Dysjön
Då;Djurås
Dån;Dånviken
Döe;Drömme
Döl;Döljebro
Dös;Dösjebro
E;Eslöv
Ea;Eldsberga
Ebg;Enstaberga
Ebk;Edsbjörke
Eby;Ekeby
Ebyr;Ekeby rangerbangård
Ed;Ed
Edn;Edsbyn
Eds;Edsbyns södra
Edv;Edsbyverken
Ei;Erikslund
Ek;Eksjö
Ekh;Ekebohult
Ekn;Eken
Eko;Ekolsund
Eky;Ekeryd
El;Edsvalla
Em;Emmaboda
Emd;Emådalen
En;Edane
Ens;Enafors
Ep;Enköping
Er;Ervalla
Era;Eneryda
Erk;Erikstad
Esa;Edsta
Esn;Ekenässjön
Est;Enskede
Et;Eskilstuna central
Etk;Ekträsk
Eyd;Elgaryd
F;Falköpings central
Fa;Finnerödja
Faa;Flodala
Fab;Falkenberg
Fabg;Falkenbergs godsstation
Fabp;Falkenbergs personstation
Fad;Fästad
Fag;Skånes Fagerhult
Fal;Falerum
Fas;Farsta strand
Fb;Forsbacka
Fbv;Forsbackaverken
Fby;Floby
Fc;Framnäs city
Fd;Floda
Fda;Furudal
Fdf;Frändefors
Fdl;Fredriksdal
Feb;Fellingsbro station
Feö;Fågelsjö
Ffl;Frufällan
Ffs;Finnforsfallet
Fg;Finspång
Fgc;Fagersta central
Fgl;Fågelsta
Fgn;Fagersta norra
Fgs;Fagersanna
Fgå;Fagerås
Fgö;Fångsjöbacken
Fhm;Forshem
Fi;Fiskeby
Fia;Finkelboda
Fid;Filipstad
Fig;Fiandberg
Fil;Fillan
Fin;Finja
Fiä;Filsbäck
Fjå;Fjällåsen
Fki;Fjälkinge
Fkr;Fåker
Fl;Flädie
Fla;Flaten vid sjön Flaten
Flb;Flemingsberg
Fle;Flen
Flgd;Friluftsgården
Fln;Falun central
Flp;Flackarp
Fls;Flisby
Flu;Flunbo
Fm;Forserum
Fmö;Forsmöllan
Fna;Falun norra
Fnt;Furunäset
Fod;Forsheda
Fok;Folkesta
Foo;Foodia
Fp;Finntorp
Fra;Fristad
Frd;Frinnaryd
Fre;Fredrikslund
Frl;Fritsla
Frå;Frykåsen
Fs;Fors
Fsb;Fosieby
Fsm;Forsmo
Fsö;Flens övre
Ft;Fränsta
Fur;Furet
Fv;Frövi station
Fvk;Furuvik
Fvks;Furuvik södra
Få;Frillesås
Fål;Fållinge
Fär;Fliskär
För;Förslöv
G;Göteborgs central
G;Göteborg
Ga;Graninge
Gad;Granstanda
Gal;Gamleby
Gan;Gantofta
Gau;Garnudden
Gav;Graningeverken
Gb;Göteborgs norra
Gbm;Göteborg Marieholm
Gby;Gimarpsby
Gdl;Geijersdal
Gdv;Gröndalsviken
Gdö;Gårdsjö
Ge;Gottne
Geur;Göteborg-Eurobridge
Gf;Göteborgs frihamn
Gg;Grängesberg
Ggm;Grängesbergs malmbangård
Ggt;Granberget
Ghu;Gula huset
Ghy;Grythyttan
Ghyn;Grythyttans norra
Gi;Gistad
Gia;Gideåbacka
Gib;Grillby
Gim;Gimonäs
Gim;Gimarp
Gimt;Gimonäs timmer
Gk;Göteborg Kville
Gln;Gullön
Glt;Gullträsk
Glv;Glumslöv
Gm;Gemla
Gmo;Gimo
Gmp;Gamlarp
Gms;Grums
Gn;Gnesta
Gnb;Gunnesbo
Gnd;Genevad
Gnf;Gagnef
Gng;Gullringen
Gnl;Gnötteln
Gnp;Gnarp
Gnå;Grönåsen
Gnö;Gnosjö
Go;Godegård
Gop;Grästorp
Gp;Gripenberg
Gpbg;Göteborgs personbangård
Gpc;Geografiska Polcirkeln
Gr;Graversfors
Gr;Gräfsnäs
Grd;Grevaryd
Grm;Grimsås
Grn;Göringen
Gro;Gubbero
Grs;Gransjö
Gru;Grundbro
Gry;Gryttje
Grö;Grötingen
Gse;Gunsen
Gsh;Göteborg Skandiahamnen
Gsn;Gastsjön
Gss;Gärsnäs
Gss;Gärsnäs
Gst;Gammelstad
Gsv;Göteborg Sävenäs
Gså;Garsås
Gt;Grimstorp
Gta;Gunnita
Gtf;Gustafs i Mora
Gtn;Gulåstjärn vid sjön Gulåstjärnen
Gtå;Getå
Gua;Gullberna
Gui;Gussi
Gun;Gunnarn
Guy;Gunnarsbyn
Gv;Gällivare
Gve;Grevie
Gvo;Göteborg Volvo
Gy;Gäddmyr
Gybs;Gyllebosjö
Gyo;Grycksbo
Gån;Gålnäs
Gåp;Gåvetorp
Gåv;Gårdveda
Gä;Gävle central
Gäb;Gävle godsbangård
Gäd;Gärdala
Gäg;Gräsberg
Gö;Gällö
Gön;Gårdsjön vid sjön Gårdsjön
Gör;Göteborg Arendal
H;Hallsberg
Haa;Hamra
Hak;Hallstavik
Hal;Hallinden
Han;Harasjön vid sjön Harasjön
Hap;Hultarp
Har;Harrå
Hb;Helsingborgs central
Hbd;Högboda
Hbgb;Helsingborgs godsbangård
Hbr;Holsbybrunn
Hbä;Högbränna
Hcp;Hotings campingplats
Hd;Halmstads central
Hd;Halmstad
Hdm;Hedemora
Hdn;Holmsveden
Hdr;Halmstads rangerbangård
He;Heberg
Hel;Helenelund
Hem;Hemberget
Hes;Helmershus
Het;Hestra
Hf;Hultsfred
Hfa;Hemfosa
Hfj;Hamrångefjärden
Hfr;Hofors
Hfs;Holmfors
Hg;Hagaström
Hge;Hagge
Hgl;Hagalund
Hgs;Häggenås
Hgv;Häggvik
Hgö;Högsjö (utanför Högsjö)
Hh;Hallstahammar
Hie;Hyllie
Hil;Hillared
His;Hedens industrispår
Hj;Hjulsbro
Hjm;Hjortöström
Hjp;Hjärup
Hka;Huskvarna
Hkd;Hökedalen
Hkl;Hudiksvall
Hkn;Hornkullen
Hkni;Hornkullen
Hks;Hackås
Hkö;Hökön
Hl;Horndal
Hlf;Hällefors
Hlk;Hällekis
Hlm;Helgum
Hlp;Hasslarp
Hlr;Horndals bruk
Hls;Hällnäs
Hlt;Herrhult
Hlv;Hällevadsholm
Hly;Hilleby
Hlö;Hölö
Hm;Hässleholm
Hma;Hökmora
Hmfs;Hissmofors
Hmr;Hammar
Hmö;Holmsjö
Hnb;Hälsingenybo
Hnc;Haninge Centrum
Hnd;Handen
Hnf;Hanefors
Hnn;Hennan
Hno;Hinsnoret
Hnä;Hälleforsnäs
Ho;Habo
Hod;Holmsund
Hok;Hok
Hokö;Hoks östra
Hova;Hova
Hoå;Holmån
Hp;Haparanda
Hpbg;Hallsbergs personbangård
Hr;Herrljunga
Hrbg;Hallsbergs rangerbangård
Hre;Horred
Hrl;Hörle
Hrm;Hargshamn
Hrt;Harrträsk
Hs;Hasselfors
Hsa;Hovsta
Hsb;Hedensbyn
Hsd;Härnösand
Hsk;Hanaskog
Hsr;Hasslerör
Hsy;Hussjöby
Hså;Harsprånget
Hsö;Hörnsjö
Ht;Hednoret
Htg;Hoting
Hti;Herting
Hto;Hillerstorp
Htp;Hogstorp
Hu;Huddinge
Hud;Hulingsryd
Hul;Hult
Hum;Husum
Humn;Husums norra
Huv;Huvudsta
Huö;Hundsjö
Hv;Hästveda
Hvd;Hjältevad
Hvn;Hallviken
Hvp;Hovmantorp
Hvr;Håverud
Hvs;Hovslätt
Hy;Heby
Hyb;Hyltebruk
Hyl;Hyllstofta
Hå;Håsjö vid Valla
Håg;Harmånger
Håk;Håmojåkk
Hål;Hållsta
Hån;Hånger
Håp;Håkantorp
Hås;Hindås
Hä;Hästbo
Häb;Hämrasviken
Häd;Härad
Häp;Häljarp
Häs;Hultanäs
Häy;Härryda
Hö;Höör
Höf;Hörnefors
Hög;Högbysjön
Höja;Höja
Hön;Högdalen
Höo;Hösjömo
Hös;Hössjön vid sjön Hössjön
Hövl;Hundsjövallen
Höy;Högsby
Ibe;Ivarsbjörke
Id;Iggesund
Igt;Ingatorp
Imp;Impregneringen
Imr;Ingmår
In;Insjön
Ip;Igelstorp
Ipr;Impregneringen
Ist;Isätra
J;Jonsereds östra
Jb;Järbo
Jbg;Johannisberg
Jbk;Jädersbruk
Jbo;Jordbro
Jby;Jakobsbyn
Je;Jutsajaure
Jh;Jordholmen
Jhl;Johannedal
Jho;Jakobshyttan
Jk;Jokkmokk
Jkb;Jakobsberg
Jla;Järlåsa
Jli;Jamtli
Jlo;Järlebo
Jn;Järna
Jnt;Järneträsk
Jot;Jonsträsk
Jpn;Järpen
Jps;Järpås
Jr;Järvsö
Jrn;Jörn
Js;Jämtlands Sikås
Jst;Järrestad
Ju;Jularbo
Jul;Julträsk
Jv;Jonsereds västra
Jy;Jenny
Jå;Juån
Jår;Jönåker
Jås;Jädraås
Jäf;Järnforsen
Jäy;Järlövsby
Jö;Jönköpings central
Jögb;Jönköpings godsbangård
K;Katrineholms central
Ka;Kattarp
Kac;Kalmar central
Kan;Kroppan
Kap;Karpalund
Kas;Kalmar södra
Kasd;Karlskoga Dalbacksgatan
Kat;Kattisavan
Kaä;Kattisträsk
Kb;Kungsbacka
Kba;Korsberga
Kbb;Karlsborgsbruk
Kbg;Karlsborg
Kbn;Karbenning
Kbå;Kuosakåbba
Kbä;Kolbäck
Kd;Kågeröd
Kda;Krigslida
Kde;Kode
Ke;Karlberg
Ker;Kerkejaure
Kfn;Kolforsen
Kfs;Klintfors
Kg;Kävlinge
Kgd;Kungsgården
Kgs;Kragenäs
Kh;Karlshamn
Khe;Kungsbacka Hede
Khn;Kristinehamn
Khy;Klenshyttan
Khä;Kallhäll
Kia;Kirunavaara
Kid;Kinnared
Kil;Kil
Kilo;Kils omformarstation
Kin;Kinna
Kisa;Kisa
Kit;Kitajaur
Kju;Kjula
Kjå;Katterjåkk
Kkä;Karskär
Kl;Klippan
Kla;Kumla
Klbg;Kälsberg
Klbn;Klockarbäcken
Klh;Kallholsfors
Kll;Källby
Kln;Kälarne
Klo;Klocksta
Klr;Koler
Kls;Kilafors
Klv;Kilvo
Klx;Kalix
Klxi;Kalix industriområde
Kly;Karlsby
Km;Kilsmo
Kmb;Kiruna malmbangård
Kms;Kimstad
Kmy;Kummelby
Kn;Knivsta
Knl;Knalleland
Kns;Kolsnäs
Knä;Knäred
Ko;Kornsjö-gränsen
Koe;Kolke
Koj;Kosjärv
Kon;Kolmården
Kos;Koskullskulle
Koä;Korsnäs
Kp;Köping
Kpe;Kaisepakte
Kpg;Kopparberg
Kpkv;Korpklev
Kpm;Köpmannebro
Kr;Killeberg
Kra;Kiruna
Krb;Karsbäcken
Krd;Kållered
Krf;Kramfors
Kri;Karungi
Krm;Krokom
Krn;Krampen
Kroj;Krokom OJ
Kröb;Krökesbo
Ks;Karlstads central
Ksac;Karlskoga centrum
Kse;Kvarnsveden
Ksg;Karlsberg
Kst;Kistinge
Ksu;Kvicksund
Ksus;Kvicksunds södra
Ksyh;Karlstads yttre hamn
Ksö;Karsjö
Ktg;Källtegen
Ktm;Kaitum
Ktn;Kropptjärn
Ktä;Korsträsk
Kv;Krokvik
Kva;Koskivaara
Kvf;Kvillsfors
Kvh;Klevshult
Kvi;Kvidinge
Kvä;Karlstad Välsviken
Kvö;Kvarnsjö vid sjön Kvarntjärnen
Kx;Kalixfors
Kxb;Kalixforsbron
Kå;Kopparåsen
Kåb;Kåbdalis
Kåd;Kungsådran
Kä;Källeryd
Käb;Kärreberga
Käd;Kärda
Kän;Kungsängen
Kär;Kärrgruvan
Käv;Kälvattnet (sjön Kälvattnet)
Kö;Karlstads östra
Köa;Könsa
Köp;Köpingebro
Kör;Kungsör
L;Ljungby
La;Ludvika
Lab;Lappberg
Lag;Lagan
Laov;Laholms västra
Lb;Lingbo
Lbr;Länna bruk
Ld;Lindesberg
Ldl;Lidlund
Ldo;Lindome
Le;Luleå
Lea;Leksboda
Lek;Lekarekulle
Lemb;Luleå malmbangård
Len;Lene
Let;Lilla Edet
Leä;Luleälvsbron
Lf;Lindfors
Lg;Läggesta
Lgb;Långbron
Lgd;Ledsgård
Lgm;Linghem
Lgs;Läggesta södra
Lgv;Liggavägen
Lgå;Lindgården
Lhr;Lillhamra
Lia;Lillaryd
Lils;Lillselet
Lin;Lina älv
Lis;Liseberg
Lit;Lit
Liv;Lingvallen
Liö;Lillsjödal
Lj;Ljungskile
Ljd;Ljungbyhed
Ljdgr;Ljungbyheds grusgrop
Lju;Ljung
Ljun;Ljungaverks lastplats
Ljv;Ljungaverk
Lkgb;Landskrona godsbangård
Lkm;Lökom
Lkn;Lindekullen
Lkp;Lidköping
Lkä;Lakaträsk
Lkö;Landskrona östra
Lld;Larslund
Lln;Linddalen
Lm;Liljeholmen
Lme;Limmared
Lmm;Lemmeströ
Lmn;Långviksmon
Lms;Lomselenäs
Lnb;Lundsbrunn
Lnbk;Lundsbrunns kurort
Lns;Lidnäs
Lnå;Lugnås
Lo;Lessebo
Loka;Loka station
Lom;Lomsmyren
Lot;Lottefors
Lp;Linköpings central
Lpb;Luspebryggan
Lpk;Lappträsk
Lr;Lerum
Lrd;Landeryd
Lre;Lästringe
Lrg;Laduberg
Lrp;Lockarp
Lrt;Lerot
Ls;Ljusdal
Lsb;Ljusne bruk
Lsd;Leksand
Lse;Ljusne
Lsj;Långsjön
Lsl;Långsele
Lsn;Losesjön
Lsp;Lycksele industrispår
Lså;Ljuså
Ltj;Lilltjära
Ltk;Långträsk
Ltr;Loster
Lu;Lunds central
Lub;Lundby
Lup;Lunnarp
Luä;Lubboträsk
Lvd;Lövliden
Lve;Lovene
Ly;Lycksele
Lyd;Lyrestad
Lye;Lyse
Lyg;Lyckselesågen
Lys;Lysekil
Lyt;Lycksele timmer
Lyv;Lysvik
Lå;Laxå
Låk;Låktatjåkka
Lö;Lörstrand
Löb;Lövberga
Lön;Lönneberga
Löo;Lönsboda
Löt;Löt
Löö;Lödöse
M;Malmö C
M;Malmö
Ma;Mattmar
Maj;Maj
Mbg;Malmberget
Mbl;Mörbylånga
Mbv;Murbergsviken
Mby;Malmby
Mbä;Malmbäck
Mcp;Meselefors campingplats
Mdl;Moradal
Mdm;Mariedamm
Mdn;Mölndals nedre
Mdö;Mölndals övre
Me;Marmaverken
Meh;Mehedeby
Mfj;Mockfjärd
Mfn;Munkflohögen
Mfs;Malungsfors
Mg;Moga
Mgb;Malmö godsbangård
Mh;Moholm
Mhn;Myrheden
Mi;Mörsil
Mia;Maria
Mip;Milletorp
Mjv;Morjärv
Mk;Murjek
Mkl;Munkedal
Mko;Molkom
Ml;Mellerud
Mlb;Mellby
Mlf;Meselefors
Mlg;Malung
Mlgf;Malungs folkhögskola
Mlgg;Malungs gymnasium
Mlö;Mellösa
Mmg;Mormorsgruvan
Mnd;Mariannelund
Mo;Moheda
Mog;Mo grindar
Mon;Mon
Mop;Mosstorp
Morp;Munktorp
Mos;Moskosel
Mot;Motala
Moy;Mollaryd
Mp;Mölltorp
Mpb;Malmö Persborg
Mr;Märsta
Mra;Mora
Mrai;Mora kommuns industrispår
Mras;Morastrand
Mrd;Markaryd
Mrh;Marsvinsholm
Mrl;Mora lasarett
Mrm;Marma
Mrs;Morshyttan
Mru;Mörrum
Ms;Mosås
Msa;Målilla sanatorium
Msb;Mönsterås bruk
Msj;Malmsjö
Msl;Mellansel
Msn;Medskogsheden
Mss;Mönsterås
Mst;Mariestad
Msä;Malmslätt
Msö;Mellansjö
Mt;Mantorp
Mtm;Maitum
Mtn;Mertainen
Mu;Mullsjö
Mud;Mosselund
My;Mjölby
Myk;Mölnlycke
Myn;Myrbacken
Myra;Myra
Myå;Myråsen
Må;Morgongåva
Måa;Målilla
Måp;Månsarp
Mäk;Märbäck
Mär;Märsta
Mö;Mölnbo
Möa;Mörlunda
Mör;Mörarp
Möv;Malmö Västra
N;Nässjö central
Nb;Näsberg
Nba;Nyboda
Nbg;Norberg
Nbr;Nybybruk
Nbt;Norra Bantorget
Nd;Nässundet
Ndt;Norrsundet
Ndv;Norsesunds västra
Nft;Nynäshamns färjeterminal
Ng;Norrhög
Ngd;Nynäsgård
Nh;Norsholm
Nhd;Nynäs havsbad
Nhg;Nederhögen
Nhr;Norrahammar
Nj;Njurunda
Nk;Nyköpings central
Nka;Nykroppa
Nkbg;Nyköping föreningsbangården
Nkr;Norra Kikkejaur
Nks;Nyköpings södra
Nkt;Näverkärret
Nkv;Nykvarn
Nl;Nelhammar
Nld;Nyland
Nml;Niemisel
Noe;Norrmjöle
Nog;Nordmaling
Nol;Nol
Nola;Norslunda
Non;Norrsjön
Norl;Nordlunda
Nosk;Nordskogen
Nov;Nordenvägen
Nr;Norrköpings central
Nrs;Norrfors
Nrt;Nuortikon
Ns;Norsesund
Nsj;Nyckelsjön
Nst;Stockholms norra
Nsö;Nedansjö
Nte;Nuorttagievlle
Ntv;Nattavaara
Nvk;Norrviken
Nvl;Norra Valbo
Nvn;Notviken
Ny;Nyhem
Nyb;Nybro
Nyf;Nyfors
Nyg;Nygård
Nyh;Nynäshamn
Nym;Nymölla
Nyå;Nyåker
Nån;Norderåsen
Nås;Nås
Nä;Nälden
Nät;Nättraby
Nöe;Nödinge
O;Osby
Ob;Ockelbo
Obe;Ombenning
Of;Olofström
Oh;Oskarshamn
Ohs;Ohs bruk
Ojb;Oljeberget
Ol;Oleby
Om;Oskarström
On;Oringen
Ope;Ope
Oph;Opphem
Or;Olskroken
Orn;Ornäs
Ors;Orsa
Orsp;Orsa plattfabrik
Ory;Ormaryd
Os;Orrskog
Osl;Oslättfors
Osö;Ovansjö
Ot;Ottebol
Ovs;Ovako stål
Ox;Oxie
Oxb;Oxberg
Oxd;Oxelösund
Oxm;Oxmyran
P;Partille
Pb;Prässebo
Pea;Peuravaara
Pc;Polcirkeln
Pia;Piatis
Pii;Pitkäjärvi
Pj;Porjus
Pjf;Porjusfallen
Pks;Pakkoselet
Pl;Pilgrimstad
Plm;Pauliström
Plt;Planteringen
Pm;Prästmon
Pt;Perstorp
Pte;Pallanite
Ptå;Piteå
På;Pålsboda
Påa;Påarp
Päb;Piteälvsbron
Pöb;Pölsebo
Qo;Kvarnabo
Qahb;Berlin Anhalter Bahnhof
Qbln;Berlin
Qgw;Greifswald
Qhmb;Hamburg Hauptbahnhof
Qhro;Rostock
Qhss;Stralsund Hauptbahnhof
Qpw;Pasewalk
Qsz;Sassnitz Fährhafen
Qwwm;Warnemünde
R;Rotebro
Ral;Ramlösa (signatur ej i bruk)
Ram;Ramlösa
Ras;Ralingsås
Rav;Ravlundabro
Raä;Ravlunda bränneri
Raö;Ramlösa (signatur ej i bruk)
Rb;Ronneby
Rbh;Rabbalshede
Rbk;Råbäck
Rbo;Röstbo
Rby;Rockneby
Rbä;Repbäcken
Rd;Rävlanda
Rdg;Rydsgård
Ren;Renviken
Rf;Rimforsa
Rfb;Rimforsa brygga
Rft;Reftele
Rgn;Riksgränsen
Rh;Rönneshytta
Rjn;Röjan
Rk;Rörvik
Rka;Rinkaby
Rke;Rekarne
Rkö;Rocksjön
Rlå;Rällså
Rmh;Rämshyttan
Rmn;Ramnäs
Rmtp;Regumatorp
Rob;Roback
Rog;Rosengård
Ros;Rossön
Rps;Ripats
Rrö;Rörösjön
Rs;Rosersberg
Rsi;Råtsi
Rsn;Rensjön
Rsä;Rönnskärsverken
Rsö;Ramsjö
Rt;Ransta
Rte;Röste
Rts;Rottneros
Ru;Ragunda
Rud;Ruda
Ruk;Rundvik
Rum;Runemo
Rut;Rautas
Rv;Rättvik
Rvä;Ringvägen
Ry;Rosshyttan
Ryb;Ryssjöbrink
Rydö;Rydö
Rye;Rynge
Ryg;Ryggen
Ryk;Rydöbruk
Rym;Rydaholm
Ryr;Ryr
Ryä;Rydebäck
Råg;Rågsveden
Rån;Råsjön
Rås;Råskogen
Råö;Rågön
Räp;Räppe
Rö;Rödberg
Rön;Rönninge
Röp;Rörstorp
Röy;Röyttä
S;Sveg
Sae;Sandared
Saf;Staffanstorp
Sag;Sagsjön
Sak;Sandbäck
Sal;Svalöv
Sam;Samnan
Sarp;Sannarp
Sas;Salsta
Sau;Stora Tuna
Sba;Spannarboda
Sbe;Saluböle
Sbg;Smedberg
Sbi;Storblåliden
Sbk;Stenbacken
Sbl;Skärblacka
Sbo;Sibo
Sbu;Strömsnäsbruk
Sby;Norra Sunderbyn
Sci;Stockholm City
Sde;Sköldinge
Sdl;Sandlid
Sdnä;Sandsjönäs
Sdr;Smålandsstenar
Sds;Sandsele
Sea;Svedala
See;Skene
Sege;Sege
Sel;Sävedalen
Sen;Stavreviken
Sf;Storfors
Sfl;Säffle
Sfn;Storflon
Sg;Stehag
Sgd;Strömstads godsbangård
Sgm;Segmon
Sgs;Strängnäs
Sgä;Slagnäs
Sh;Stjärnhov
Shd;Sannahed
Shm;Söderhamn
Shr;Surahammar
Shv;Söderhamns västra
Shö;Silverhöjden
Si;Simrishamn
Sic;Silverdalens centrum
Sid;Silverdalens bruk
Sif;Sikfors
Sii;Silinge
Sik;Svartvik
Sir;Sorsele industrispår
Sjka;Sjisjka
Sjv;Sjövägen
Sk;Skövde central
Ska;Skatan
Skb;Skinnskatteberg
Skbl;Skälebol
Skby;Skavstaby
Ske;Skee
Skg;Skogås
Skh;Skelleftehamns nedre
Skl;Skellefteå
Skms;Skymossen
Skn;Skänninge
Skog;Skoghall
Skr;Skåre
Skrp;Skogstorp
Skru;Skållerud
Skv;Skebokvarn
Skä;Skästra
Sl;Sala
Slb;Saleboda
Slbk;Solbacka
Sle;Slätte
Slg;Sällinge
Slj;Selsjön
Slm;Solum
Sln;Saltkällan
Slnä;Sellnäs
Slo;Slottsbron
Slru;Slommerud
Slä;Selknä
Sm;Sandhem
Smd;Strömstad
Smj;Smedjebacken
Smk;Skogsmark
Smn;Sommen
Smo;Strömsbro
Smp;Smedstorp
Smt;Simonstorp
Smu;Smålands Burseryd
Små;Simeå
Sn;Stenkullen
Snb;Snickarbo
Sne;Sandarne
Sngå;Singsån
Snl;Skan Log
Snn;Sennan
Snt;Snyten
Snu;Stenungsund
Snv;Sandviken
Snö;Stensjön
So;Solna
Soa;Stordalen
Sod;Stockholm Odenplan
Soe;Stolpen
Sol;Sollentuna station
Som;Stormyran
Sop;Skorped
Sot;Stigtomta
Soö;Storsjö
Sp;Sparreholm
Sph;Skeppshult
Spj;Spjutsbygd
Spjb;Spjutbäcken
Spk;Sprängsviken
Spn;Stolpstugan
Spy;Spännarhyttan
Spå;Spånga station
Sr;Storå
Sre;Söderbärke
Srn;Sörtjärn
Sro;Storebro
Srp;Skurup
Srr;Skattkärr
Srs;Sorsele
Srt;Strömtorp
Sru;Skruv
Srv;Storvreta
Srö;Ströms Vattudal
Ss;Stenstorp
Ssa;Sjösa
Ssd;Strömsund
Ssh;Strömsholm
Ssl;Stensele
Sst;Stockholms södra
Ssu;Sissehult
Sså;Stenselesågen
Ssä;Segersäng
St;Säter
Sta;Stuvsta
Stb;Stångby
Std;Stöde
Ste;Svarte
Sten;Stegsskogen
Sth;Stora Höga
Sti;Storbergets industrispår
Stje;Stjerneskolan
Stk;Sikträsk
Stl;Ställdalen
Stlv;Stora Levene
Stn;Sidertjärn
Sto;Storträsk
Ston;Stockviksverkens nedre
Stoö;Stockviksverkens övre
Stp;Svågertorp
Str;Storlien
Sts;Storsund
Stt;Stäket
