VKM;UNIQUE;Keeper Name / Halter Name / Nom du détenteur / Название владельца;Country Страна;Status Статус;www.;
ENS;ENS;Rotkaeppchen-Mumm Sektkellereien GmbH;DE;in use;;
ENT;ENT;Banedanmark;DK;in use;bane.dk;
ENTR;ENTR;Euronaft Trzebinia Sp. Z o.o.;PL;in use;euronaft-trzebinia.pl;
ENTSK;ENTSK;Europe Night Trains Slovakia s. r. o.;SK;in use;ent-rail.com;
ENV;ENV;ENVIRAL, a. s.;SK;in use;enviral.sk;
ENVI;ENVI;ENVILOC GmbH;DE;in use;enviloc.eu;
ENWOY;ENWOY;Enwoy Gas, s.r.o.;SK;in use;;
EP;EP;EUROPORTE 2;FR;in use;;
EPC;EPC;Europorte Channel SAS;FR;in use;europorte.com;
EPCD;EPCD;EP Cargo Deutschland GmbH;DE;in use;epcargo.eu;
EPCI;EPCI;EP Cargo a.s.;CZ;in use;epcargo.cz;
EPCIN;EPCIN;EP Cargo Invest a.s.;CZ;in use;epcargo.cz;
EPCVJ;EPCVJ;EPCVJ VULCAN;RO;in use;;
EPF;EPF;Europorte France;FR;in use;europorte.com;
EPH;EPH;Erdbewegung Paul Herzog GmbH;AT;in use;;
EPMFD;EPMFD;EP Engine Provider GmbH;DE;in use;ferrostaal.com;
EPO;EPO;EPORE Sp. z o.o.;PL;in use;epo.com.pl;
EPOOL;EPOOL;EUROPOOL GmbH;DE;in use;;
EPP;EPP;ELIXIR PRAHOVO DOO PRAHOVO;RS;in use;ihp.co.rs;OTIF
EPR;EPR;E-P RAIL SRL;RO;in use;e-prail.ro;
EPSK/EПСК;EPSK;EPS RB KOLUBARA d.o.o LAZAREVAC;RS;in use;rbkolubara.co.rs;OTIF
ER;ER;Elektriraudtee;EE;Blocked;;
ERAG;ERAG;Eberhard Recycling AG;CH;in use;eberhard.ch;OTIF
ERAIL;ERAIL;Eurailpool GmbH;DE;in use;eurailpool.com;
ERB;ERB;eurobahn GmbH & Co. KG;DE;in use;eurobahn.de;
ERC;ERC;European Railway Company Deutschland GmbH;DE;in use;ercd.de;
ERD;ERD;Eiffage Infra-Rail GmbH;DE;in use;eiffaqe-infra.de/rail;
ERDPL;ERDPL;ERIDON sp. z o.o.;PL;in use;eridon.pl;
ERE;ERE;OPERE;FR;in use;ere-lgv-bpl.com;
ERF;ERF;Eiffage Rail;FR;in use;eiffagerail.fr/fr/home-page;
ERH;ERH;EUROGATE RAIL HUNGARY Szolgaltato Zrt.;HU;in use;eurogate-rail.hu;
ERIXX;ERIXX;erixx GmbH;DE;in use;erixx.de;
ERMD;ERMD;ERMEWA SA;DE;in use;ermewa.com;
ERMI;ERMI;ERMEWA IBERICA;ES;in use;;
ERMW;ERMW;ERMEWA SA, Geneva branch;CH;in use;ermewa.ch;OTIF
ERNEF;ERNEF;ERNEFA GmbH;DE;in use;;
ERPL;ERPL;EVERRAIL sp. z o.o.;PL;in use;everrai.pl;
ERR;ERR;ERR European Rail Rent GmbH;DE;in use;railrent.com;
ERS;ERS;ERS Railways;NL;in use;ersrail.nl;
ERSA;ERSA;ERMEWA-SAS;FR;in use;ermewa.fr;
ERSF;ERSF;Eiffage Rail Services;FR;in use;;
ERSFR;ERSFR;EURAILSCOUT FRANCE;FR;in use;eurailscout-france.fr;
ERX;ERX;EuroRailExpress;NL;in use;;
ES;ES;“EUROTERMINAL SŁAWKÓW” sp. z o.o;PL;in use;euroterminal.pl;
ESG;ESG;Eisenbahn- und Sonderwagen-Betriebsgesellschaft mbH;DE;in use;blue-star-train.de;
ESGBI;ESGBI;Eisenbahn-Service-Gesellschaft mbH;DE;in use;;
ESGER;ESGER;ErailS GmbH;DE;in use;;
ESIN;ESIN;ESIN S.r.l.;IT;in use;;
ESLNL;ESLNL;ESL GmbH Eisenbahnverkehrsunternehmen;DE;in use;eisenbahnservice.com;
ESRAY;ESRAY;ESRAY MAKINA OTOMOTIV SANAYI INŞAAT SANAYI VE TICARET ANONIM ŞIRKE;TR;in use;esray.com.tr;OTIF
ESS;ESS;Ernst Schauffele Schienenverkehrs GmbH & Co KG;DE;in use;eisenbahnverkehr.de;
ESSO;ESSO;Esso Petroleum Co Ltd;UK;in use;exxonmobil.co.uk;
ESW;ESW;TAURON Wytwarzanie S.A. – Oddział Elektrownia Stalowa Wola w Stalowej Woli;PL;in use;esw.pl;
ESXXI;ESXXI;EXCAVA SXXI S.L.U.;ES;in use;excava21.com;
ET;ET;Eurotunnel;UK;Blocked;;
ETB;ETB;Eisenbahn Technik Betrieb GmbH & Co KG;DE;in use;;
ETE;ETE;European Trans Energy GmbH;AT;in use;europten.com;
ETF;ETF;ETF;FR;in use;etf.fr;
ETFLU;ETFLU;Eurovia Travaux Ferroviaires Luxembourg;LU;in use;;
ETG;ETG;ETG Eisenbahntechnik-Gesellschaft mbH;DE;in use;;
EThB;ETHB;EuroTHURBO;DE;in use;thurbo.ch;
ETIAS;ETIAS;Eti Lojistik Demiryolu Tasimaciligi Ve Isletmeciligi Vagon Bakim Onarim Iml.San.Tic. A.S.;TR;in use;yildirimholding.com;OTIF
ETIMI;ETIMI;ETI MADEN İŞLETMELERİ GENEL MÜDÜRLÜĞÜ;TR;in use;etimaden.gov.tr;OTIF
ETL;ETL;Eisenbahn -Tradition e.V.;DE;in use;eisenbahn-tradition.de;
ETMF;ETMF;ETMF;FR;in use;;
ETP;ETP;EUROTEHNIC TOTAL PROIECT SRL;RO;in use;;
ETR;ETR;EUROTRANS sp. z o.o.;PL;in use;;
EU;EU;Eurostar (UK) Limited;UK;Blocked;eurostar.com;
EUC;EUC;EURO CONSTRUCT SA;RO;in use;;
EUCOM;EUCOM;EUROCOM Automatizálási és Vasúttechnikai Zrt.;HU;in use;eurotraction.hu;
EUFER;EUFER;Eurofer Equipment S.r.l.;IT;in use;eurofer.net;
EURAI;EURAI;EURORAIL S.r.l.;IT;in use;;
EURL;EURL;EURORAIL NV/SA;BE;in use;eurorail.eu;
EURO;EURO;Euro Express Sonderzüge GmbH & Co KG;DE;in use;euro-express.eu;
EUROC;EUROC;EUROCONSTRUCT TRADING 98 SRL;RO;in use;;
EUROW;EUROW;EUROW-Waggon GmbH;DE;in use;;
EUROY;EUROY;Eurowagon Demiryolu Tic.Ltd.Şti.;TR;in use;;OTIF
EURSW;EURSW;Euroswitch AG;CH;Revoked;euroswitch.info;OTIF
EUSCT;EUSCT;Eurailscout;NL;in use;eurailscout.com;
EUSKO;EUSKO;Eusko Trenbideak - Ferrocarriles Vascos S.A.;ES;in use;euskotren.eus;
EUWAG;EUWAG;EUROWAGON SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;PL;in use;euro-wagon.com;
ev;EV;Eurovapor;CH;in use;eurovapor.ch;OTIF
EVA;EVA;Ekolsunds Åkeri & Verkstads AB;SE;in use;;
EVB;EVB;Eisenbahnen und Verkehrsbetriebe Elbe-Weser GmbH;DE;in use;evb-elbe-weser.de;
EVBG;EVBG;Eisenbahn Verkehr und Besitz GmbH;DE;in use;rheingold-zug.com;
EVG;EVG;Eifelbahn Verkehrsgesellschaft mbH;DE;in use;zugtouren.de;
EVM;EVM;EVM Rail S.r.l.;IT;in use;evmrail.it;
EVR;EVR;Aktsiaselts Eesti Raudtee;EE;Blocked;evr.ee;
EVRE;EVRE;EVR Exspress;EE;Blocked;evrekspress.ee;
EBPO;EVRO;"Евроинженеринг" ЕООД;BG;in use;;
EVS;EVS;VTG Rail Europe;FR;Revoked;;
EVTR;EVTR;Evrometal OOD / Еврометал ООД;BG;in use;;
EVULW;EVULW;LEONHARD WEISS GmbH & Co. KG;DE;in use;leonhard-weiss.de;
EW;EW;Erik Walter GmbH Co KG;DE;in use;erik-walter.de;
EWEX;EWEX;E-W Express, s.r.o.;SK;in use;ewex.sk;
EWG;EWG;EWG Rail Pic.;HU;in use;;
EWI;EWI;Firma Handlowo-Usługowa "Ewimex";PL;in use;;
EWL;EWL;EWL GmbH East West Logistics;DE;in use;;
EWOOD;EWOOD;Ecco Wood sp. z o.o.;PL;in use;ecco-wood.eu;
EWOW;EWOW;AKRENT sp. z o. o.;PL;in use;;
EWS;EWS;English Welsh and Scottish Railway International Limited;UK;in use;ews-railway.co.uk;
EXCH;EXCH;Verein Extrazug CH;CH;in use;extrazug.ch;OTIF
EXER;EXER;Stockholm Exergi AB;SE;in use;stockholmexergi.se;
EXFO;EXFO;EXPRESS FORWARDING SRL;RO;in use;expressrail.ro;
EXKOL;EXKOL;EXKOL Przedsiębiorstwo Budownictwa Kolejowego i Usług Handlowych sp. j. Wojciech Szawłowski i S-ka;PL;in use;exkol.pl;
EXPR;EXPR;Express Service LTD.;BG;in use;exservice.biz;
EXPUR;EXPUR;EXPUR S.A.;RO;in use;;
EXRA;EXRA;Express Wagons, a.s.;SK;in use;expresswagons.sk;
EXSK;EXSK;Express Group, a.s.;SK;in use;expressgroup.sk;
EXTRA;EXTRA;EXTRAIL SP. Z O.O.;PL;Revoked;extrail.com.pl;
EYMI;EYMI;E Y M Instalaciones s.a.;ES;in use;ohl.es;
EŽK;EZK;Elektrizácia železníc Kysak, a.s.;SK;in use;;
EZMDJ;EZMDJ;ELIXIR ZORKA MINERALNA DUBROVINA d.o.o.;RS;in use;elixirzorka.co.rs;OTIF
FA;FA;AMEDEE FORNONI TRAVAUX FERROVIAIRES;FR;in use;fornoni-amedee.fr;
FABN;FABN;Ferrovia Alifana e Benevento Napoli s.r.l.;IT;Revoked;metrocampanianordest.it;
FAEG;FAEG;Falkenberger Eisenbahngesellschaft mbH;DE;in use;;
FAG;FAG;Frutiger AG Untertagbau;CH;in use;frutiger.com;OTIF
FAIR;FAIR;Stichting Fairtrains;NL;in use;fairtrains.nl;
FAL;FAL;Ferrovie Appulo Lucane S.R.L.;IT;in use;ferrivieappulolucane.it;
FALK;FALK;SONATA LOGISTICS GmbH;DE;in use;sonata-logistics.com;
FANDA;FANDA;František Štraub;CZ;in use;;
FART;FART;Ferrovie Autolinee Regionali Ticinesi;CH;in use;centovalli.ch;OTIF
FAS;FAS;Società Unica Abruzzese di Trasporto TUA S.p.A.;IT;Revoked;tuabruzzo.it;
FATOC;FATOC;ATELIERS DOCCITANIE;FR;in use;;
FATRA;FATRA;Fatra, a.s.;CZ;in use;fatra.cz;
FAUR;FAUR;FAUR SA;RO;in use;;
FB;FB;Forchbahn;CH;in use;forchbahn.ch;OTIF
FBF;FBF;Frenzel-Bau GmbH&Co. KG;DE;in use;frenzel-bau.de;
FBV;FBV;Suburbano FBV;IT;Blocked;;
FC;FC;Ferrovia della Calabria;IT;Blocked;ferroviedellacalabria.it;
FCARE;FCARE;VR Kunnossapito Oy;FI;in use;vrfleetcare.com;
FCC;FCC;First Capital Connect;UK;in use;;
FCCCO;FCCCO;FCC-Construccion, S.A;ES;in use;fcc.es;
FCCIN;FCCIN;FCC SERVICIOS INDUSTRIALES Y ENERGÉTICOS, S.A.;ES;in use;fccindustrial.es;
FCE;FCE;Ferrovia Circumetnea;IT;in use;circumetnea.it;
FCU;FCU;Umbria Mobilità Esercizio s.r.l.;IT;in use;umbriamobilita.it;
FD;FD;Friedrich Duensing GmbH;DE;in use;duensing.de;
FdC;FDC;Ferrovie della Calabria S.r.l.;IT;in use;ferroviedellacalabria.it;
FDEV;FDEV;Faszination Dampf e.V.;DE;in use;faszination-dampf.de;
FDF;FDF;Finnish Defence Force;FI;in use;mil.fi;
FEBEX;FEBEX;FEBEX;CH;in use;;OTIF
FECZ;FECZ;Felbermayr Transport- und Hebetechnik, spol. S r.o.;CZ;in use;;
FEG;FEG;Freiberger Eisenbahngesellschaft mbH;DE;in use;freiberger-eisenbahn.de;
FEGER;FEGER;Helmut Feger GmbH;DE;in use;fegergmbh.de;
FEIDT;FEIDT;Betons FEIDT S.A.;LU;in use;feidt.lu;
FELB;FELB;Felbermayr Transport- und Hebetechnik GmbH & Co KG;AT;in use;felbermayr.cc;
FEP;FEP;Fundacja Era Parowozów;PL;in use;eraparowozow.org.pl;
FEPL;FEPL;Felbermayr Polska Sp. z o.o.;PL;in use;felbermayr.cc;
FER;FER;Ferrovie Emilia Romagna;IT;in use;fer-online.it;
FERCO;FERCO;FER80 SRL;IT;in use;fer80.it;
FERE;FERE;FEREST LOGISTICS SRL;RO;in use;ferest-logistics.ro;
FERFI;FERFI;Fennia Rail Oy;FI;in use;fenniarail.fi;
FERO;FERO;FEROCARGO EUROTRANS SA;RO;in use;;
FEROV;FEROV;FEROVERGNE;FR;in use;qroupecombronde.com;
FERP;FERP;FEROCO S.A.;PL;in use;feroco.pl;
FERRO;FERRO;FERROVIAL AGROMAN, S.A.;ES;in use;ferrovial.com;
FERRU;FERRU;FERRUM S.A.;PL;in use;ferrum.com.pl;
FERS;FERS;Fersalento s.r.l.;IT;in use;;
FERSP;FERSP;Fersped d.d.;SI;in use;fersped.si;
FERST;FERST;Förderverein Eisenbahn Rinteln - Stadthagen e.V.;DE;in use;der-schaumburger-ferst.de;
FERSU;FERSU;FERMECCANICA SUD S.r.l.;IT;in use;fermeccanicasud.it;
FERT;FERT;Fertilog Oy;FI;in use;fertilog.fi/fi;
FESK;FESK;FELBERMAYR SLOVAKIA, s.r.o.;SK;in use;;
FETB;FETB;Förderverein Eistalbahn e.V.;DE;in use;foerderverein-eistalbahn.de;
FEVE;FEVE;Ferrocarriles de Via Estrecha;ES;Blocked;feve.es;
FEVG;FEVG;Friesoyther Eisenbahngesellschaft mbH;DE;in use;friesoyther-eisenbahngesellschaft.de;
FEW;FEW;FEW Blankenburg GmbH;DE;in use;;
FFAG;FFAG;Furrer+Frey AG;CH;in use;furrerfrey.ch;OTIF
FFDDE;FFDDE;Furrer + Frey Deutschland GmbH;DE;Revoked;furrerfrey.de;
FFR;FFR;F&F Rail d.o.o.;HR;in use;;
FFS;FFS;Ferrovia Federali Svizzeri;CH;in use;ffs.ch;OTIF
FFWD;FFWD;FFWD Rail BV;NL;in use;ffwdrail.com;
FG;FG;Ferrovia del Gargano;IT;in use;ferroviedelgargano.it;
FGC;FGC;FERROCARRILS DE LA GENERALITAT DE CATALUNYA;ES;in use;fgc.cat;
FGG;FGG;Feldschlösschen Getränke AG;CH;in use;feldschloesschen.com;OTIF
FGL;FGL;FAGIOLI S.p.A;IT;in use;fagioli.com;
FGV;FGV;Ferrocarrils de la Generalitat de Valencia;ES;Blocked;cop.gva.es/fgv/;
FGW;FGW;First Great Western;UK;Blocked;firstgreatwestern.co.uk;
FHB;FHB;Feldhaus Bergbau GmbH & Co. KG;DE;in use;feldhaus.com;
FIA;FIA;FERRIVIA;FR;in use;ferrivia.fr;
FINF;FINF;Financial Found a.s.;CZ;in use;;
FINNG;FINNG;FGG Finngas GmbH sivuliike Suomessa;FI;in use;finngas.fi;
FISEK;FISEK;FİŞEKÇİOĞLU DEMIR ÇELIK SAN.VE TIC A.Ş.;TR;in use;fisekciogludemir.com;OTIF
FJT;FJT;Firma JT Järnvägsteknik;SE;in use;;
FKA;FKA;Fahrzeugkompetenzzentrum Augsburg GmbH (FKA);DE;in use;fka-augsburg.de;
FKGJK;FKGJK;MÁV FKG Felépítménykarbantartó és Gépjavító Kft.;HU;in use;mav-fkg.internettudakozo.hu;
FKH;FKH;Franz Kaminski Waggonbau GmbH;DE;in use;kaminski-hameln.de;
FL;FL;Freightliner;UK;Blocked;freightliner.co.uk;
FLAIR;FLAIR;Fürstlich Liechtensteinische Eisenbahn-Romantik Stiftung;AT;in use;eisenbahn-nostalgie-flair.li;
FLCGK;FLCGK;Pfeifer & Langen Glinojeck S.A.;PL;in use;diamant.pl;
FLEX;FLEX;Flex Bahndienstleistungen GmbH;DE;in use;flex-bahndienstleistungen.de;
FLINT;FLINT;FLOAREA INTERNATIONAL SRL;RO;in use;;
FLIX;FLIX;Flix Train GmbH;DE;in use;flixtrain.de;
FLO;FLO;Florin AG;CH;in use;;OTIF
FLOBA;FLOBA;Florianer Bahn Forschungs- und Errichtungsgesellschaft mbH;AT;in use;florianerbahn.com;
FLOYD;FLOYD;FLOYD ZRt.;HU;Revoked;floyd.hu;
FLP;FLP;Ferrovie Luganesi (Ferrovia Lugano - Ponte Tresa);CH;in use;flpsa.ch;OTIF
FLYT;FLYT;Flytoget AS;NO;Revoked;flytoget.no;
FME;FME;Fränkische Museums-Eisenbahn e. V. Nürnberg;DE;in use;fme-ev.de;
FMR;FMR;FuoriMuro Servizi Portuali e Ferroviari S.r.l.;IT;in use;fuorimuro.it;
FN;FN;FERROVIENORD S.p.A.;IT;in use;ferrovienord.it;
FNM;FNM;Ferrovie Nord Milano Esercizio S.p.A.;IT;Revoked;ferrovienord.it;
FNW;FNW;First North Western;UK;Blocked;firstnorthwestern.co.uk;
FOD;FOD;Spolek „Frýdlantské okresní dráhy";CZ;in use;;
FODPS;FODPS;Fundacja Ochrony Dziedzictwa Przemysłowego Śląska;PL;in use;muzeumtechniki.pl;
FÖRII;FORII;Föreningen Förstlingen II;SE;in use;forstlingen.com;
FORMS;FORMS;FORMS Mariusz Koch;PL;in use;forms.com.pl;
FOSF;FOSF;FOSFAN S.A.;PL;in use;fosfan.pl;
FOSFA;FOSFA;Fosfa akciová společnost;CZ;in use;;
FOX;FOX;FOXrail Zrt.;HU;in use;foxrail.hu;
FOXFI;FOXFI;FoxRail Logistics Oy;FI;in use;frlogistics.fi;
FPC/ФПК;FPC;JSC FEDERAL PASSENGER COMPANY;RU;in use;;OTIF
FPL;FPL;Freightliner PL Sp. z o.o.;PL;in use;freightliner.pl;
FR;FR;Fragonset Railways;UK;Blocked;fragonset.co.uk;
FRA;FRA;Ferroviaire Rhône Alpes;FR;in use;;
FRANK;FRANK;Beutlhauser-Frank GmbH;DE;in use;beutlhauser-Frank.de;
FRC;FRC;FRASCA;FR;in use;frasca.fr;
FRETU;FRETU;Fretus AG;CH;in use;fretus.ch;OTIF
FRG;FRG;Fergrupo - Construções e Técnicas Ferroriárias S.A.;PT;in use;fergrupo.pt;
FRIE;FRIE;Hanns Friedrich OHG;DE;in use;;
FRITZ;FRITZ;FRITZE & Co. Eisenbahn und Tiefbau GmbH & Co. KG;DE;in use;fritze-eisenbahnbau.de;
FRL;FRL;Fan rail s.r.o.;CZ;in use;;
FRM;FRM;FERROMET a.s.;CZ;in use;steel-holding.cz;
FRN;FRN;FER RENT S.r.l.;IT;in use;;
FRRWY;FRRWY;Ferrovial Railway, S.A.;ES;in use;ferrovial.com;
FRS;FRS;Feldbinder Rail Services GmbH;DE;in use;;
FRST;FRST;Frutiger AG Spezialtiefbau;CH;in use;frutiger.com;OTIF
FRT;FRT;FERROTRACT;FR;in use;ferrotract.fr;
FRTS;FRTS;Entreprise P. FOURCHARD & R. RENARD;FR;in use;;
FRUEH;FRUEH;Früh Ingenierbau GmbH & Co. KG;DE;Revoked;fruehib.de;
FRV;FRV;Ferrovias e Construções S.A.;PT;Revoked;ferrovias.pt;
FRVAS;FRVAS;FERROVIAS ASTUR, S.A.;ES;in use;ferroviasastur.com;
FSE;FSE;Ferrovie del Sud-Est;IT;in use;;
FSI;FSI;FSI Logistik GmbH;DE;in use;;
FSKG;FSKG;Friedrich Scharr KG;DE;in use;scharr.de;
FSNCF;FSNCF;SNCF-C32 SAS;FR;in use;;
FSP;FSP;FERSPED CARGO SA;RO;in use;;
FSVJ;FSVJ;Föreningen Sörmlands Veteranjärnväg;SE;in use;fsvj.se;
FT;FT;Ferrotramviaria;IT;in use;ferrovienordbarese.it;
FTG;FTG;Fertagus;PT;in use;fertagus.pt;
FTM;FTM;Ferrovia Trento-Malé;IT;Blocked;fertm.it;
FUC;FUC;Società Ferrovie Udine Cividale;IT;in use;ferrovieudinecividale.it;
FUCHS;FUCHS;Fuchs Europe Schmierstoffe GmbH;DE;in use;;
FUNSV;FUNSV;FUNIVIE S.p.A.;IT;in use;funiviesv.it;
FVCF;FVCF;Francesco Ventura Costruzioni Ferrovirie S.r.l.;IT;in use;fventura.it;
FVE;FVE;Farge-Vegesacker Eisenbahn;DE;in use;connex-gruppe.de;
FVILL;FVILL;Fehérvill-ám Kft.;HU;in use;;
FVJ;FVJ;Föreningen Veteranjärnvägen;SE;in use;veteranjarnvagen.se;
FVMSB;FVMSB;Förderverein Mainschleifenbahn e.V;DE;in use;mainschleifenbahn.de;
FW;FW;FRANCE WAGONS;FR;in use;;
FWG;FWG;Finwagon Oy;FI;in use;rp-hitsaus.fi;
FWGs;FWGS;Fels Werke GmbH Goslar;DE;in use;;
FWGSA;FWGSA;FABRYKA WAGONÓW GNIEWCZYNA s.a.;PL;in use;gniewczyna.pl;
FWK;FWK;Fahrzeugwerke Karsdorf GmbH & Co. KG;DE;in use;erfurter-bahnservice.de;
FZCRA;FZCRA;ZAHAR CORABIA SA;RO;in use;;
GAAL;GAAL;Gaal S.p.A.;IT;in use;sitfa.net;
GABW;GABW;Go-Ahead Baden-Württemberg GmbH;DE;in use;go-ahead-bahn.de;
GABY;GABY;Go-Ahead Bayenr GmbH;DE;in use;go-ahead-bahn.de/go-ahead-bayern;
GADFT;GADFT;GADEFT;FR;in use;;
GAFLT;GAFLT;K+M Fahrleitungstechnik GmbH;DE;in use;kuma-fl.de;
GAIA;GAIA;GAIAOSE S.A.;EL;in use;gaiaose.gr;
GAPRO;GAPRO;GA PRO-CO CHEMICALS SA;RO;in use;;
GATXA;GATXA;GATX Rail Austria GmbH;AT;in use;gatx.eu;
GATXD;GATXD;GATX Rail Germany GmbH;DE;in use;;
GATXF;GATXF;GATX RAIL FRANCE SAS;FR;in use;;
GATXO;GATXO;Ing. Alica Ovčiariková A.O., s.r.o.;SK;in use;;
GATXP;GATXP;GATX Rail Poland Sp. z o.o.;PL;in use;gatx.eu;
GAVD;GAVD;Go-Ahead Verkehrsgesellschaft Deutschland GmbH;DE;in use;go-ahead-bahn.de;
GBA;GBA;Gleisbau Weimar GmbH;DE;in use;gleisbau-weimar.de;
GBBJ;GBBJ;Grängesbergsbanornas Järnvägsmuseum;SE;in use;;
GBC;GBC;GeBaCo GmbH;DE;in use;gebaco.de;
GBLos;GBLos;Geschw Balter Bauunternehmung GmbH;DE;in use;balter-bau.de;
GBM;GBM;GBM Wiebe Gleisbaumaschiennen GmbH;DE;in use;gbm.wiebe.de;
GBMV;GBMV;Gleisbau Meckleburg-Vorpommern GmbH;DE;in use;;
GBRf;GBRF;GB Railfreight Limited;UK;in use;gbrailfreight.com;
GBS;GBS;Gleisbau Sabrodt GmbH;DE;in use;heringinternational.com;
GBW;GBW;Gleisbau-Busching-Wagner GmbH;DE;in use;gbw-busching.de;
GBXEU;GBXEU;GREENBRIER Leasing Europe BV;NL;in use;greenbrier-europe.com;
GC;GC;Green Cargo AB;SE;in use;greencargo.com;
GCA;GCA;Grampetcargo Austria;AT;in use;;
GCAWA;GCAWA;GCA WAGONS;FR;in use;;
GCF;GCF;G.C.F. Generale Costruzioni Ferroviarie;IT;in use;gcf.it;
GCPV;GCPV;Cementos Portland Valderrivas, S.A.;ES;in use;valderrivas.es;
GCRAL;GCRAL;Transportes Hermanos Cortés, S.L;ES;in use;grupo-cortes.es;
GDJ;GDJ;Museiföreningen Gefle-Dala Jernväg;SE;in use;mfgdj.se;
GE;GE;Gepard Express, SE;CZ;in use;gepard.com;
GEFCO;GEFCO;GEFCO S.A.;FR;in use;gefco.net;
GEFER;GEFER;GEFER S.p.A.;IT;in use;gefer.it;
GEFSK;GEFSK;GEFCO RAIL SLOVAKIA s.r.o.;SK;in use;gefco.net;
GEISM;GEISM;GEISMAR SAS;FR;in use;geismar.com;
GEN;GEN;GENIFER;FR;in use;;
GEO;GEO;GEOSINTESI S.p.A.;IT;in use;geosintesi.com;
GEOBB;GEOBB;GEOMONTA-HARMANEC;SK;in use;geomonta.sk;
GER;GER;First Great Eastern;UK;Blocked;ger.co.uk;
GERA;GERA;Bahnbetrieb Gera GmbH;DE;in use;;
GERS;GERS;GE Capital Rail Services GmbH & Co.KG;DE;in use;;
GES;GES;Gesellschaft zur Erhaltung von Schienenfahrzeugen Stuttgart e.V.;DE;in use;ges-ev.de;
GESG;GESG;G&G Növényvédelmi és Kereskedelmi Kft.;HU;in use;gesgkft.hu;
GET;GET;Georgsmariënhütte Eisenbahn und Transport;DE;Revoked;--;
GETR;GETR;GERHÁT TRAIN s.r.o.;CZ;in use;;
GETRA;GETRA;GETRA a.s.;SK;in use;getra.sk;
GETUK;GETUK;General Electric Transportation Systems UK LTD;UK;in use;getransportation.com;
GEW;GEW;Geraer Eisenbahnwelten e.V.;DE;in use;geraer-eisenbahnwelten.de;
GFD;GFD;Gleisbau Füllberg GmbH;DE;in use;fuellberg.de;
GFE;GFE;GfE Gesellschaft für Eisenbahnbetrieb mbH;DE;in use;;
GFF;GFF;GfF Gesellschaft f. Fahrzeugtechnik mbH;DE;in use;;
GFMH;GFMH;GFM Historique (GFMH);CH;in use;gfm-historique.ch;OTIF
GFR;GFR;GRUP FEROVIAR ROMAN S.A.;RO;in use;gfr.ro;
GFW;GFW;GLIWICKA FABRYKA WAGONÓW HOLDING SPÓŁKA AKCYJNA;PL;in use;gfwsa.com.pl;
GGB;GGB;Gornergrat-Monte Rosa-Bahnenbahn;CH;in use;ggb.ch;OTIF
GGRB;GGRB;Gleis-Genossenschaft Ristet-Bergermoos;CH;in use;;OTIF
GGT;GGT;Görlitzer Gleis- und Tiefbau GmbH;DE;in use;ggt-gmbh.de;
GHG;GHG;Gelsenkirchener Logistik-, Hafen- und Servicegesellschaft mbH;DE;in use;hafen-ge.de;
GHJ;GHJ;Gotlands Hesselby Jernväg;SE;in use;gotlandstaget.se;
GHL;GHL;Grinsty Holdings Limited;UK;in use;;
GHS;GHS;G. Hinteregger & Söhne Baugesellschaft mbH;AT;in use;hinteregger.co.at;
GICU;GICU;GICU Jarosław Iwaniuk;PL;in use;;
GIF;GIF;Gestor de Infraestructuras Ferroviarias;ES;Blocked;gif.es;
GJT;GJT;Gävle Järnvägsteknik AB;SE;in use;gjt.se;
GJVB;GJVB;NSB Gjøvikbanen AS;NO;in use;nsb.no;
GJW;GJW;GJW Praha spol. s r.o.;CZ;in use;;
GKB;GKB;Graz-Köflacher Eisenbahn;AT;in use;gkb.at;
GL;GL;GMEINDER LOKOMOTIVEN GmbH;DE;in use;gmeinder-lokomotiven.de;
GLBF;GLBF;GLOBALFER S.P.A.;IT;in use;globalferspa.it;
GLEIS;GLEIS;G&L Bau R. Brachendorf GmbH;DE;in use;gleisbau-brachtendorf.de;
GLFIT;GLFIT;Gleisfrei Srl;IT;in use;gleisfrei.com;
GLG;GLG;Gmeinder Lokomotivenfabrik GmbH;DE;Revoked;gmeinder.de;
GLOBA;GLOBA;COSTRUZIONI GLOBALI;IT;in use;;
GLR;GLR;Truck to Train Service GmbH;AT;in use;trucktotrain.at;
GLRB;GLRB;GEBR.LUTZ Bauunternehmung GmbH + Co. KG;DE;in use;gebr-lutz.de;
GLRR;GLRR;Gerhard Lang Recycling GmbH;DE;in use;lang-recycling.de;
GLS;GLS;GLS Bau und Montagne GmbH;AT;in use;gls.at;
GLV;GLV;Gesellschaft für Logistik und Vegetationsdienste mbH;DE;in use;;
GMAAR;GMAAR;Genossenschaft Migros Aare;CH;in use;migros.ch;OTIF
GMAOS;GMAOS;GRUPO MARIÑO OBRAS Y SERVICIOS;ES;in use;;
GMB;GMB;Flytoget AS;NO;in use;flytoget.no;
GMBB;GMBB;GMB GmbH;DE;in use;gmbgmbh.de;
GMF;GMF;GESTION DE MAQUINARIA FERROVIARIA;ES;in use;comsaemte.com;
GMG;GMG;GMG Gesellschaft f. masch. Gleisbau mbH & Co. KG;DE;in use;xaver-pittrich.de;
GMMM;GMMM;Grand Moulin Maurel;FR;in use;;
GMOS;GMOS;Migros Ostschweiz;CH;in use;migros-ostschweiz.ch;OTIF
