Abk;Name
Schrw;Schrankenwärter
Sifa;Sicherheitsfahrschaltung („Totmannschaltung“)
Sig;Signal
Sigabh;Signalabhängigkeit
Sperr;Sperrung
Sperrf;Sperrfahrt
SRK;Selbstrettungskonzept
SST;Seitenselektive Türsteuerung
Stör;Störung
Str;Strecke
Strebu;Streckenbuch
Stw;Stellwerk
TAV;Technikbasiertes Abfertigungsverfahren
TB0;Türblockierung ab 0 km/h
Tb;Triebfahrzeugbegleiter
TEN;Trans-European Networks
Tf;Triebfahrzeugführer
TfPV;Triebfahrzeugführerschein-Prüfungsverordnung
TFS;Triebfahrzeugführerschein
TfV;Triebfahrzeugführerscheinverordnung
Tfz;Triebfahrzeug
Tfzf;Triebfahrzeugfahrt
TSI;Technische Spezifikationen für die Interoperabilität im Schienenverkehr 
TWb;Technische Wagenbehandlung
Üc;Übermittlungscode
UIC;Union internationale des chemins de fer
Ültg;Überleitung
Uml;Umleitung
Üs;Überwachungssignal
Üst;Überleitstelle
VMZ;Maximal zulässige Geschwindigkeit des Zuges
Vsig;Vorsignal
WB;Wirbelstrombremse
Wdh;Wiederholer
Wg;Wagen
Wgm;Wagenmeister
Wgp;Wagenprüfer
WUB;Wagenuntersuchungsbeamter
Ww;Weichenwärter
ZB;Zusatzbescheinigung zum TFS
Zes;Zentralschaltstelle
Zf;Zugführer
ZF;Zugfunk
Zfst;Zugfolgestelle
Zm;Zugmelder
ZM;Zugschlussmeldung/Zugvollständigkeitsmeldung
Zmb;Zugmeldebuch
ZMP;Zugschlussmeldeposten
Zmst;Zugmeldestelle
Zp;Zugpersonal
ZS;Zugsammelschiene
Zs;Zugschaffner
Zsig,ZSig;Zwischensignal
Zub;Zugbegleiter
Zugg;Zuggattung
Zugv;Zugvorbereiter
Zvsig,ZVsig;Zwischenvorsignal
