linie;linienname;bpk_anfang;bpk_ende;km_anfang;km_ende;stationierung_anfang;stationierung_ende;n;e;n2;e2;geopos;geopos2;tst
225;Biel/Bienne West - La Chaux-de-Fonds;Biel/Bienne West;La Chaux-de-Fonds Nord;34.119;77.401;0;1000000;1220326.534;2584880.757;1216730.618;2553830.779;7.23934270911, 47.1337456984;6.83045274464, 47.0999596176;"{""type"": ""LineString"", ""coordinates"": [[7.23934270911, 47.1337456984], [6.83045274464, 47.0999596176]]}"
241;Courtemaiche - Bure-Casernes;Courtemaiche;Bure-Casernes;0.0;4.935;0;1000000;1256191.682;2571099.681;1255980.863;2567791.714;7.05538017512, 47.4558691837;7.0115297727, 47.4538189734;"{""type"": ""LineString"", ""coordinates"": [[7.05538017512, 47.4558691837], [7.0115297727, 47.4538189734]]}"
245;Belfort - Delle;Belfort;Delle-Frontiere;442.68;464.698;0;1000000;1276230.54;2555910.044;1261426.328;2567922.701;6.85196703027, 47.6352435852;7.01287365684, 47.5028009638;"{""type"": ""LineString"", ""coordinates"": [[6.85196703027, 47.6352435852], [7.01287365684, 47.5028009638]]}"
260;Zollikofen Nord - Biel/Bienne Aebistr.;Zollikofen Nord (Abzw);Biel/Bienne Aebistrasse;8.152;33.069;0;1000000;1206293.59;2602072.221;1219980.517;2585613.313;7.46588109412, 47.0076913913;7.2490095631, 47.130649763;"{""type"": ""LineString"", ""coordinates"": [[7.46588109412, 47.0076913913], [7.2490095631, 47.130649763]]}"
263;Studen Auto - Studen;Studen Auto;Studen BE;27.645;28.119;0;1000000;1217414.4046;2589955.2391;1217725.117;2589610.809;7.3062944582, 47.1076486331;7.30174956022, 47.1104380955;"{""type"": ""LineString"", ""coordinates"": [[7.3062944582, 47.1076486331], [7.30174956022, 47.1104380955]]}"
264;Lyss West - Lyss Fulenmatt (Agl);Lyss West (Agl);Lyss Fulenmatt;99.791;101.495;0;1000000;1214257.497;2589359.636;1215543.096;2590151.336;7.2985225042, 47.0792431734;7.30891902917, 47.0908193773;"{""type"": ""LineString"", ""coordinates"": [[7.2985225042, 47.0792431734], [7.30891902917, 47.0908193773]]}"
292;Solothurn - Bern RBS;Solothurn;Bern RBS;0.0;33.62;0;1000000;1228144.25;2607884.418;1200000.0663;2600130.0811;7.54268921098, 47.2041925029;7.44034118187, 46.9510833697;"{""type"": ""LineString"", ""coordinates"": [[7.54268921098, 47.2041925029], [7.44034118187, 46.9510833697]]}"
297;Bern Fischermatteli - Schwarzenburg;Bern Fischermatteli;Schwarzenburg Gleisende;3.527;20.989;0;1000000;1198964.551;2597982.065;1185283.802;2592554.316;7.41212934785, 46.9417654348;7.34106797401, 46.8186641469;"{""type"": ""LineString"", ""coordinates"": [[7.41212934785, 46.9417654348], [7.34106797401, 46.8186641469]]}"
318;Kleine Scheidegg - Jungfraujoch;Kleine Scheidegg;Jungfraujoch;0.0;9.3;0;1000000;1159454.7498;2640060.1042;1155274.7638;2641669.9809;7.9613147822, 46.5851651991;7.9819413898, 46.5474664013;"{""type"": ""LineString"", ""coordinates"": [[7.9613147822, 46.5851651991], [7.9819413898, 46.5474664013]]}"
321;Zweisimmen - Lenk;Zweisimmen;Lenk im Simmental;62.43;75.29;0;1000000;1155801.717;2595108.922;1145250.0438;2600374.652;7.37486190719, 46.5534825513;7.44351776794, 46.4585822645;"{""type"": ""LineString"", ""coordinates"": [[7.37486190719, 46.5534825513], [7.44351776794, 46.4585822645]]}"
359;Busto Arsizio - Malpensa Aeroporto;Busto Arsizio;Malpensa Aeroporto T2;0.0;18.0;0;1000000;1052649.5162;2711325.0206;1056190.0;2699949.0;8.86564192771, 45.6165002724;8.72059050062, 45.6501087371;"{""type"": ""LineString"", ""coordinates"": [[8.86564192771, 45.6165002724], [8.72059050062, 45.6501087371]]}"
362;Varese - Porto Ceresio;Varese;Porto Ceresio;0.0;14.24;0;1000000;1074788.701;2708389.9342;1084626.6594;2713414.0498;8.83307162148, 45.8160862276;8.90004929725, 45.9037442782;"{""type"": ""LineString"", ""coordinates"": [[8.83307162148, 45.8160862276], [8.90004929725, 45.9037442782]]}"
365;Arona - Domodossola;Arona;Domodossola (I);0.0;55.55;0;1000000;1067498.8416;2687340.0494;1107444.969;2666299.695;8.56096761052, 45.7535582075;8.29623396744, 46.1152477754;"{""type"": ""LineString"", ""coordinates"": [[8.56096761052, 45.7535582075], [8.29623396744, 46.1152477754]]}"
413;Langenthal - Niederbipp;Langenthal;Niederbipp;0.0;10.986;0;1000000;1229654.225;2626215.515;1235531.542;2619386.781;7.78471513555, 47.2173028715;7.69481806732, 47.2704017343;"{""type"": ""LineString"", ""coordinates"": [[7.78471513555, 47.2173028715], [7.69481806732, 47.2704017343]]}"
416;Wanzwil - Inkwil (Tunnel Wolfacher Sud);Wanzwil (Abzw);Inkwil (Verzw);67.948;70.599;0;1000000;1227510.463;2619745.919;1227196.055;2617131.905;7.69921294795, 47.1982449944;7.66470435467, 47.1954896869;"{""type"": ""LineString"", ""coordinates"": [[7.69921294795, 47.1982449944], [7.66470435467, 47.1954896869]]}"
417;Langenthal GB - Butzberg Ost (Agl);Langenthal GB;Butzberg Ost (Agl);60.376;62.3;0;1000000;1229371.11;2625107.252;1229116.251;2623199.702;7.77006868277, 47.2147993223;7.74487426962, 47.2125765365;"{""type"": ""LineString"", ""coordinates"": [[7.77006868277, 47.2147993223], [7.74487426962, 47.2125765365]]}"
451;Aarburg-Oftringen - Rothrist Gleis 1;Aarburg-Oftringen;Rothrist;43.005;46.198;0;1000000;1241150.149;2635502.466;1239601.841;2633331.79;7.90822260672, 47.3202684695;7.87939646804, 47.3064556794;"{""type"": ""LineString"", ""coordinates"": [[7.90822260672, 47.3202684695], [7.87939646804, 47.3064556794]]}"
452;Rothrist - Zofingen (Kriegsschlaufe);Aarburg-Oftringen West (Abzw);Aarburg-Oftringen Sud (Abzw);0.0;0.833;0;1000000;1240413.368;2635404.732;1240407.291;2636164.469;7.90687181051, 47.3136469222;7.91691898964, 47.3135510987;"{""type"": ""LineString"", ""coordinates"": [[7.90687181051, 47.3136469222], [7.91691898964, 47.3135510987]]}"
456;Oberhard BE - Aespli;Oberhard BE;Aespli;92.086;92.761;0;1000000;1209247.705;2606634.336;1208598.853;2606453.566;7.52591558675, 47.0342343378;7.52352814815, 47.0283996595;"{""type"": ""LineString"", ""coordinates"": [[7.52591558675, 47.0342343378], [7.52352814815, 47.0283996595]]}"
473;Alpnachstad - Pilatus Kulm;Alpnachstad;Pilatus Kulm;0.0;4.8;0;1000000;1200781.207;2663880.202;1203474.9697;2662185.8196;8.27784827202, 46.9550415274;8.25595869298, 46.9794317915;"{""type"": ""LineString"", ""coordinates"": [[8.27784827202, 46.9550415274], [8.25595869298, 46.9794317915]]}"
507;Dreispitz - Dornach;Basel, Aeschenplatz;Dornach;-1.8;6.16;0;1000000;1266747.5683;2611750.4899;1259900.4959;2612975.4952;7.59472302595, 47.5513422055;7.61079813278, 47.4897379887;"{""type"": ""LineString"", ""coordinates"": [[7.59472302595, 47.5513422055], [7.61079813278, 47.4897379887]]}"
512;Ruchfeld - Basel SBB GB St.Jakob;Ruchfeld;Basel SBB GB Ost;120.671;121.722;0;1000000;1264814.634;2613061.06;1265779.311;2613335.315;7.61207697256, 47.5339332631;7.61574793987, 47.5426038467;"{""type"": ""LineString"", ""coordinates"": [[7.61207697256, 47.5339332631], [7.61574793987, 47.5426038467]]}"
517;Basel Bad Bhf - Zell im Wiesental;Basel Bad Bf;Zell (Wiesental);-1.59;27.16;0;1000000;1268524.66;2612664.855;1283968.516;2630816.438;7.60692041847, 47.5673079057;7.84919999679, 47.7055999972;"{""type"": ""LineString"", ""coordinates"": [[7.60692041847, 47.5673079057], [7.84919999679, 47.7055999972]]}"
528;Ruchfeld - Basel SBB Dreispitz;Basel SBB Dreispitz;Ruchfeld;-0.01;0.991;0;1000000;1263940.498;2612696.705;1264814.634;2613061.06;7.60721341683, 47.5260785827;7.61207697256, 47.5339332631;"{""type"": ""LineString"", ""coordinates"": [[7.60721341683, 47.5260785827], [7.61207697256, 47.5339332631]]}"
552;Luzern Verbindung Seeverlad;Luzern Einfahrt (Abzw);Luzern Seeverlad;94.466;95.303;0;1000000;1210767.752;2666201.893;1210929.876;2666888.608;8.30980277005, 47.0446385494;8.31886264499, 47.046027851;"{""type"": ""LineString"", ""coordinates"": [[8.30980277005, 47.0446385494], [8.31886264499, 47.046027851]]}"
570;Gutsch - Kussnacht - Immensee;Gutsch (Abzw);Immensee West (Abzw);2.218;18.92;0;1000000;1211532.043;2665227.356;1216320.857;2677576.715;8.29708954888, 47.0516095164;8.4604234478, 47.0933510684;"{""type"": ""LineString"", ""coordinates"": [[8.29708954888, 47.0516095164], [8.4604234478, 47.0933510684]]}"
598;Cambiamento binari Faido SMF;Faido SMF Nord;Faido SMF Sud;239.821;240.876;0;1000000;1150991.197;2705073.237;1150107.237;2705642.927;8.80751521124, 46.5019871676;8.8147335526, 46.4939469747;"{""type"": ""LineString"", ""coordinates"": [[8.80751521124, 46.5019871676], [8.8147335526, 46.4939469747]]}"
601;Rynacht -  Erstfeld Nord Gleis links;Rynacht (Abzw);Erstfeld Nord (Abzw);38.933;40.921;0;1000000;1188733.456;2691856.279;1186817.354;2692249.255;8.6429016033, 46.8434015835;8.64766580623, 46.8261132751;"{""type"": ""LineString"", ""coordinates"": [[8.6429016033, 46.8434015835], [8.64766580623, 46.8261132751]]}"
605;Sisikon - Gruonbach (Gleis links);Sisikon;Gruonbach (Spw);26.383;30.384;0;1000000;1200474.012;2689989.413;1196536.069;2690182.656;8.62074872767, 46.9492540146;8.6225064189, 46.9138092361;"{""type"": ""LineString"", ""coordinates"": [[8.62074872767, 46.9492540146], [8.6225064189, 46.9138092361]]}"
609;Milano Centrale - Como - Chiasso;Milano Centrale;Chiasso Est;0.0;50.278;0;1000000;1038576.0;2737983.0;1076631.15;2724195.636;9.20318796526, 45.4850600743;9.0368402631, 45.8299445419;"{""type"": ""LineString"", ""coordinates"": [[9.20318796526, 45.4850600743], [9.0368402631, 45.8299445419]]}"
611;Goschenen - Andermatt;Goschenen MGB Gleisende;Andermatt;-0.179;3.767;0;1000000;1169077.127;2688052.78;1165721.705;2688409.468;8.58926522535, 46.6671177495;8.59328041694, 46.6368900877;"{""type"": ""LineString"", ""coordinates"": [[8.58926522535, 46.6671177495], [8.59328041694, 46.6368900877]]}"
627;Milano Porta Garibaldi - Greco Pirelli;Milano Porta Garibaldi;Milano Greco Pirelli;0.0;3.98;0;1000000;1038406.0;2736797.0;1041663.0;2738756.0;9.18797786635, 45.4837703421;9.21396328697, 45.5126625497;"{""type"": ""LineString"", ""coordinates"": [[9.18797786635, 45.4837703421], [9.21396328697, 45.5126625497]]}"
630;Giubiasco - Locarno;Giubiasco Sud (bif);Locarno (fine binario);154.358;172.009;0;1000000;1114594.572;2720610.772;1114355.764;2705169.118;9.0004465751, 46.1720229748;8.80048023058, 46.1724633564;"{""type"": ""LineString"", ""coordinates"": [[9.0004465751, 46.1720229748], [8.80048023058, 46.1724633564]]}"
631;Cadenazzo - Pino confine;Cadenazzo Ovest (bif);Pino confine;161.129;175.894;0;1000000;1112521.245;2714475.879;1106647.908;2701898.93;8.92051743438, 46.1544462116;8.75646624251, 46.1036392833;"{""type"": ""LineString"", ""coordinates"": [[8.92051743438, 46.1544462116], [8.75646624251, 46.1036392833]]}"
644;Aarau - Menziken;Aarau AVA;Menziken Gleisende;0.0;22.14;0;1000000;1249090.386;2646361.31;1232407.145;2656869.142;8.05267036788, 47.3910099916;8.18972257123, 47.2401380012;"{""type"": ""LineString"", ""coordinates"": [[8.05267036788, 47.3910099916], [8.18972257123, 47.2401380012]]}"
647;Brugg - Hendschiken Nord;Brugg AG;Hendschiken Nord (Abzw);-0.001;10.815;0;1000000;1259183.737;2658054.322;1249209.835;2657901.26;8.20884455349, 47.480859835;8.20552126704, 47.3911715014;"{""type"": ""LineString"", ""coordinates"": [[8.20884455349, 47.480859835], [8.20552126704, 47.3911715014]]}"
673;Biberbrugg - Arth-Goldau;Biberbrugg;Arth-Goldau Ost (Abzw);18.412;38.2;0;1000000;1223619.572;2697374.157;1211451.985;2684853.904;8.72271471268, 47.1563786386;8.55534922377, 47.0486679361;"{""type"": ""LineString"", ""coordinates"": [[8.72271471268, 47.1563786386], [8.55534922377, 47.0486679361]]}"
693;RBL Mitte;RBL Depot;RBL Kopf Killwangen;12.043;15.185;0;1000000;1251728.942;2672338.929;1253587.997;2669838.939;8.3971371593, 47.4124002078;8.36430518133, 47.4293894846;"{""type"": ""LineString"", ""coordinates"": [[8.3971371593, 47.4124002078], [8.36430518133, 47.4293894846]]}"
698;Killwangen West -411- Heitersbergl. Ost;Killwangen West (Abzw);Heitersberglinie Ost (Abzw);16.512;17.485;0;1000000;1254231.03;2668725.525;1254528.722;2667816.036;8.34964768587, 47.4352897619;8.33763778509, 47.438061372;"{""type"": ""LineString"", ""coordinates"": [[8.34964768587, 47.4352897619], [8.33763778509, 47.438061372]]}"
702;Turgi - Koblenz - Waldshut;Turgi;Waldshut;27.433;44.435;0;1000000;1260429.271;2661404.349;1274782.523;2658692.866;8.25345864571, 47.4917573195;8.21937405878, 47.6210875345;"{""type"": ""LineString"", ""coordinates"": [[8.25345864571, 47.4917573195], [8.21937405878, 47.6210875345]]}"
703;ZH Oerlikon Nord - Wettingen - Gruemet;Zurich Oerlikon Nord (Abzw);Gruemet (Abzw);22.596;50.647;0;1000000;1252254.489;2683797.603;1253220.563;2662628.057;8.5490477069, 47.4157681314;8.26868448746, 47.4268103281;"{""type"": ""LineString"", ""coordinates"": [[8.5490477069, 47.4157681314], [8.26868448746, 47.4268103281]]}"
717;Zurich Giesshubel - Zurich Wiedikon;Zurich Giesshubel;Zurich Wiedikon;0.009;1.069;0;1000000;1246316.402;2681839.416;1247303.593;2681936.758;8.52201633411, 47.3626111025;8.52348543973, 47.3714772284;"{""type"": ""LineString"", ""coordinates"": [[8.52201633411, 47.3626111025], [8.52348543973, 47.3714772284]]}"
727;Zurich HB - Zurich Selnau;Zurich HB SZU Gleisende;Zurich Selnau KM-Sprung;90.0;91.223;0;1000000;1247929.91;2683270.419;1247230.248;2682522.921;8.54125760513, 47.3769427519;8.53123184343, 47.3707444643;"{""type"": ""LineString"", ""coordinates"": [[8.54125760513, 47.3769427519], [8.53123184343, 47.3707444643]]}"
747;Neugut West (Abzw) - Chriesbach (Abzw);Neugut West bei DUE (Abzw);Chriesbach (Abzw);107.76;108.741;0;1000000;1250911.705;2687824.812;1251047.959;2688679.38;8.60214180152, 47.4031673826;8.61348859493, 47.4042782175;"{""type"": ""LineString"", ""coordinates"": [[8.60214180152, 47.4031673826], [8.61348859493, 47.4042782175]]}"
753;Effretikon - Wetzikon - Hinwil;Effretikon;Hinwil;-0.019;22.543;0;1000000;1253527.158;2694165.311;1239742.648;2705960.695;8.68667914444, 47.4258120599;8.83971989441, 47.3000569504;"{""type"": ""LineString"", ""coordinates"": [[8.68667914444, 47.4258120599], [8.83971989441, 47.3000569504]]}"
770;Bulach - Eglisau - Neuhausen;Bulach;Neuhausen;16.254;40.126;0;1000000;1264267.926;2682660.579;1282062.883;2689074.51;8.53620919891, 47.5239499229;8.62493454562, 47.683133412;"{""type"": ""LineString"", ""coordinates"": [[8.53620919891, 47.5239499229], [8.62493454562, 47.683133412]]}"
821;Oberwinterthur - Etzwilen West (Abzw);Oberwinterthur;Etzwilen West (Abzw);3.603;31.556;0;1000000;1262746.4;2699572.409;1279787.347;2703415.022;8.76038919617, 47.5079223325;8.81535642386, 47.6605650802;"{""type"": ""LineString"", ""coordinates"": [[8.76038919617, 47.5079223325], [8.81535642386, 47.6605650802]]}"
871;Wattwil - Ebnat-Kappel;Wattwil;Ebnat-Kappel;20.007;24.861;0;1000000;1240040.832;2724621.459;1236115.713;2727315.936;9.08648237238, 47.2994772641;9.12098748225, 47.2636664107;"{""type"": ""LineString"", ""coordinates"": [[9.08648237238, 47.2994772641], [9.12098748225, 47.2636664107]]}"
881;Sargans Schl. West - Schleife - Trubbach;Sargans Schleife West (Abzw);Trubbach;0.625;5.42;0;1000000;1211864.618;2753163.971;1215413.391;2755061.229;9.45417488934, 47.040113837;9.48034560239, 47.0715830689;"{""type"": ""LineString"", ""coordinates"": [[9.45417488934, 47.040113837], [9.48034560239, 47.0715830689]]}"
884;Buchs - Buchs RB;Buchs SG;Buchs SG RB;18.526;19.351;0;1000000;1226171.291;2754651.563;1226979.672;2754508.515;9.47863668892, 47.1684119794;9.47702761299, 47.1757141498;"{""type"": ""LineString"", ""coordinates"": [[9.47863668892, 47.1684119794], [9.47702761299, 47.1757141498]]}"
910;Landquart - Klosters - Sagliains;Landquart;Sagliains;0.0;54.53;0;1000000;1203988.14;2760969.261;1182560.0095;2802980.8821;9.55404469208, 46.9674404284;10.0962328067, 46.763280709;"{""type"": ""LineString"", ""coordinates"": [[9.55404469208, 46.9674404284], [10.0962328067, 46.763280709]]}"
959;Samedan - Pontresina;Samedan;Pontresina;97.71;103.003;0;1000000;1156474.7326;2786710.995;1151844.6263;2788621.1364;9.87276231332, 46.5335019661;9.89575820914, 46.4913358324;"{""type"": ""LineString"", ""coordinates"": [[9.87276231332, 46.5335019661], [9.89575820914, 46.4913358324]]}"
5001;Amsteg Zugangsstollen;Amsteg Zugangsstollen West;Amsteg Zugangsstollen Ost;-0.1;1.993;0;1000000;1181293.994;2694088.661;1181131.877;2696138.463;8.67063288086, 46.776177198;8.69743439929, 46.7744264233;"{""type"": ""LineString"", ""coordinates"": [[8.67063288086, 46.776177198], [8.69743439929, 46.7744264233]]}"
5011;Bedrettostollen;Bedretto Portal Sudost;Bedretto Portal Nordwest;0.0;5.2;0;1000000;1150138.519;2681085.849;1153937.528;2677537.096;8.49490553062, 46.4976522394;8.44932020269, 46.5322440704;"{""type"": ""LineString"", ""coordinates"": [[8.49490553062, 46.4976522394], [8.44932020269, 46.5322440704]]}"
109;Simplon Tunnel II;Brig Tunnel;Iselle portail tunnel;147.15;166.973;0;1000000;1130510.42;2643766.775;1117643.953;2658803.259;8.00694229803, 46.3245679145;8.2005544547, 46.2076843094;"{""type"": ""LineString"", ""coordinates"": [[8.00694229803, 46.3245679145], [8.2005544547, 46.2076843094]]}"
112;Vevey - Blonay;Vevey;Blonay;0.0;5.72;0;1000000;1145915.435;2554278.705;1146210.3517;2558289.679;6.84344559824, 46.4630018107;6.89563167877, 46.4659170359;"{""type"": ""LineString"", ""coordinates"": [[6.84344559824, 46.4630018107], [6.89563167877, 46.4659170359]]}"
114;Blonay - Chamby;Blonay;Chamby;0.0;2.95;0;1000000;1146210.3517;2558289.679;1144340.3371;2559649.7026;6.89563167877, 46.4659170359;6.91350007285, 46.4491789781;"{""type"": ""LineString"", ""coordinates"": [[6.89563167877, 46.4659170359], [6.91350007285, 46.4491789781]]}"
127;Bex - Villars;Bex;Villars-sur-Ollon;0.0;12.436;0;1000000;1122320.503;2566224.453;1127310.3194;2570509.5887;7.00066990236, 46.2514645823;7.0559185789, 46.2965526464;"{""type"": ""LineString"", ""coordinates"": [[7.00066990236, 46.2514645823], [7.0559185789, 46.2965526464]]}"
151;Geneve St-Jean - La Plaine-Frontiere;St-Jean (bif);La Plaine-Frontiere;61.59;75.559;0;1000000;1117969.095;2498823.704;1115030.75;2488182.612;6.12772254121, 46.2055529994;5.9905811644, 46.1774395649;"{""type"": ""LineString"", ""coordinates"": [[6.12772254121, 46.2055529994], [5.9905811644, 46.1774395649]]}"
152;St-Jean - Geneve-Eaux-Vives - Annemasse;St-Jean (bif);Annemasse;61.59;76.39;0;1000000;1117969.095;2498823.704;1117151.02;2507184.751;6.12772254121, 46.2055529994;6.23620010296, 46.1994013141;"{""type"": ""LineString"", ""coordinates"": [[6.12772254121, 46.2055529994], [6.23620010296, 46.1994013141]]}"
154;Furet - Jonction;Furet (bif);Jonction (Geneve);0.0;0.941;0;1000000;1118340.74;2497887.71;1117563.821;2498286.872;6.11551600358, 46.2087541607;6.12085652522, 46.2018268164;"{""type"": ""LineString"", ""coordinates"": [[6.11551600358, 46.2087541607], [6.12085652522, 46.2018268164]]}"
156;Morges - Biere;Morges;Biere;0.0;19.08;0;1000000;1151525.985;2527498.454;1154600.5944;2515449.522;6.49396950064, 46.5111011979;6.33643154068, 46.5373407004;"{""type"": ""LineString"", ""coordinates"": [[6.49396950064, 46.5111011979], [6.33643154068, 46.5373407004]]}"
158;Geneve Poste 1 - Geneve FB - Geneve;Geneve Poste 1;Geneve;59.4;60.236;0;1000000;1119284.219;2500130.147;1118468.129;2499968.949;6.14436531992, 46.2175770911;6.14245159514, 46.2102128988;"{""type"": ""LineString"", ""coordinates"": [[6.14436531992, 46.2175770911], [6.14245159514, 46.2102128988]]}"
160;Renens VD Ouest - Lausanne-Triage sect.;Renens VD Ouest (bif);Lausanne-Triage sectionnement;5.18;10.267;0;1000000;1154756.64;2533530.071;1152608.89;2529608.62;6.57208700737, 46.5407882914;6.52129645154, 46.5210675228;"{""type"": ""LineString"", ""coordinates"": [[6.57208700737, 46.5407882914], [6.52129645154, 46.5210675228]]}"
169;Lausanne-Triage sect. - Bussigny;Lausanne-Triage sectionnement;Bussigny;10.267;14.92;0;1000000;1152608.89;2529608.62;1155530.145;2531984.566;6.52129645154, 46.5210675228;6.55182614923, 46.5475903675;"{""type"": ""LineString"", ""coordinates"": [[6.52129645154, 46.5210675228], [6.55182614923, 46.5475903675]]}"
170;Lausanne-Triage (Est - Sud);Lausanne-Triage Est;Lausanne-Triage Sud;7.118;9.052;0;1000000;1154205.144;2532096.006;1153032.737;2530587.955;6.55347427058, 46.5356833039;6.53399425012, 46.52498249;"{""type"": ""LineString"", ""coordinates"": [[6.55347427058, 46.5356833039], [6.53399425012, 46.52498249]]}"
