STRNR;KMANF_E;KMEND_E;KMANF_V;KMEND_V;STRNAME;STRKURZN
1000;117090058;117970084;170,9 +  58;179,7 +  84;Flensburg Weiche, W 203 - Flensburg Grenze;Flensburg-Weiche - Flensb. Gr
1001;100060034;103570000;  0,6 +  34; 35,7 +   0;Flensburg-Weiche, W 213 - Lindholm, W 7;Flensburg-Weiche - Lindholm
1002;117290045;117850031;172,9 +  45;178,5 +  31;Flensburg Weiche, W 214 - DB-Grenze (Fl.,östl.Hafengl.);Flensburg Weiche - DB-Grenze
1003;117730005;117970032;177,3 +   5;179,7 +  32;Flensburg Alter Bahnhof - DB-Grenze (Fl.,westl.Hafengl.);FL-alter Bf - FL-Hafen West
1004;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Flensburg Alter Bahnhof - Flensburg, Oestlich;ehemalige Strecke 1004
1005;100000000;100540095;  0,0 +   0;  5,4 +  95;Flensburg - Abzw Friedensweg, W 301;Flensburg - Abzw Friedensweg
1010;113190069;113580082;131,9 +  69;135,8 +  82;Schleswig, W 801 - Schleswig Altstadt;Schleswig - Schleswig-Altstadt
1011;100060000;102640054;  0,6 +   0; 26,4 +  54;Jübek, 07W9 - Husum, 50W41;Jübek - Husum
1012;100040020;104910089;  0,4 +  20; 49,1 +  89;Rendsburg, W 89 - Husum, W 40;Rendsburg - Husum
1020;100330094;108100034;  3,3 +  94; 81,0 +  34;Kiel-Hassee Cittipark, W 7 - Flensburg, W 4;Kiel-Hassee C. - Flensburg
1021;100000084;100430090;  0,0 +  84;  4,3 +  90;Kiel-Hassee Cittipark - Kiel West;Kiel-Hassee C. - Kiel West
1022;100000074;103090055;  0,0 +  74; 30,9 +  55;Kiel Hbf - Osterrönfeld, W 105;Kiel - Osterrönfeld
1023;100000035;106330046;  0,0 +  35; 63,3 +  46;Kiel Hbf - Neustadt (Holst);Kiel - Neustadt(Holst)
1030;110090068;110410054;100,9 +  68;104,1 +  54;Meimersdorf - Kiel Hgbf;Meimersdorf - Kiel Hgbf
1031;110000044;110650019;100,0 +  44;106,5 +  19;Meimersdorf, W 3 - Kiel-Hassee Cittipark, W 1;Meimersdorf - Kiel-Hassee C.
1032;110290076;110550087;102,9 +  76;105,5 +  87;Abzw Meimersdorf Ost, W 21 - Kiel Hbf, Gl 1;Meimersdorf Ost - Kiel Hbf
1033;110010045;110380049;100,1 +  45;103,8 +  49;Meimersdorf, W 5 - Kiel Hbf, Stw Ss, W 3;Meimersdorf - Kiel Ss
1040;107420061;117620030; 74,2 +  61;176,2 +  30;Neumünster, W 9 - Flensburg;Neumünster - Flensburg
1041;107430076;109960081; 74,3 +  76; 99,6 +  81;Neumünster, W 10 - Ascheberg (Holst);Neumünster - Ascheberg
1042;99979981;106290001; -0,2 + -18; 62,9 +   1;Neumünster, W 12 - Heide (Holst), W 13;Neumünster - Heide
1043;107440027;111980066; 74,4 +  27;119,8 +  66;Neumünster, W 23 - Bad Oldesloe, W 22;Neumünster - Bad Oldesloe
1100;100000000;108860037;  0,0 +   0; 88,6 +  37;Lübeck Hbf - Puttgarden, W 110;Lübeck - Puttgarden
1101;100000022;100490096;  0,0 +  22;  4,9 +  96;Heiligenhafen - Lütjenbrode, Sbk L, W 2;Heiligenhafen - Lütjenbrode
1102;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Lüdjenbrode - SBK A;ehemalige Strecke 1102
1103;100530050;102090094;  5,3 +  50; 20,9 +  94;Fehmarn-Burg - Orth (Fehmarn);Fehmarn-Burg - Orth (Fehmarn)
1104;100000000;100080004;  0,0 +   0;  0,8 +   4;Burg (Fehmarn) Abzw, W 7 - Burg (Fehmarn) West, W 6;Burg (Fehmarn)Abzw - Burg West
1105;100750000;108800000;  7,5 +   0; 88,0 +   0;Bad Schwartau - Puttgarden Grenze (Planungstitel);Bad Schwartau - Puttgarden Gr
1106;102350000;102860000; 23,5 +   0; 28,6 +   0;Haffkrug - Neustadt (Planungstitel);Haffkrug - Neustadt
1110;100040088;102650005;  0,4 +  88; 26,5 +   5;Eutin, W 5 - Bad Schwartau Abzw, W 31;Eutin - Bad Schwartau
1111;100000000;100800008;  0,0 +   0;  8,0 +   8;Pönitz (Holst) - Ahrensbök;Pönitz - Ahrensbök
1112;99949940;101760060; -0,5 + -59; 17,6 +  60;Malente-Gremsmühlen, W 35 - Lütjenburg;Malente - Lütjenburg
1113;100460099;102060027;  4,6 +  99; 20,6 +  27;Abzw Schwartau Waldhalle, W 1 - Lübeck-Travemünde Strand;Schwartau - Travemünde Strand
1114;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Lübeck-Travemünde Hafen - Niendorf (Ostsee);ehemalige Strecke 1114
1115;99999919;100550000;  0,0 + -80;  5,5 +   0;Lübeck-Dänischburg, W 10 - Herrenwyk,Metallhüttenw.;HL-Dänischburg - HL-Herrenwyk
1116;100310070;100480050;  3,1 +  70;  4,8 +  50;Lübeck-Herrenwyk, Flenderwerke, W 56 - Nordwestdeutsche Kraftwerke;Lübeck-Herrenwyk - NWK
1117;100000000;100520002;  0,0 +   0;  5,2 +   2;Abzw Lübeck-Kücknitz, 95W51 - Lübeck Skandinavienkai;HL-Kücknitz - Skandinavienkai
1120;100000000;106420098;  0,0 +   0; 64,2 +  98;Lübeck Hbf - Hamburg Hbf, W 453;Lübeck - Hamburg
1121;100240082;104720086;  2,4 +  82; 47,2 +  86;Lübeck Hgbf Abzw, 90W453 - Büchen, W 19;Lübeck - Büchen
1122;100040084;123410048;  0,4 +  84;234,1 +  48;Lübeck Hbf, 90W108 - Strasburg (Uckerm), W 48;Lübeck - Strasburg (Uckerm)
1123;99999944;100400000;  0,0 + -55;  4,0 +   0;Bad Oldesloe , W 71 - Blumendorf;Bad Oldesloe - Blumendorf
1130;100060007;100250018;  0,6 +   7;  2,5 +  18;Lübeck Hbf, 90W118 - Lübeck Hgbf Abzw, 90W441;Lübeck Hbf - Lübeck Hgbf
1131;100430048;101420074;  4,3 +  48; 14,2 +  74;Abzw Strecknitz, 62W1 - Lübeck-Schlutup;Abzw Strecknitz - HL-Schlutup
1132;99999969;100180093;  0,0 + -30;  1,8 +  93;Lübeck-Schlutup, W 31 - Schlutup, Fischereihafen;HL-Schlutup - Hafen
1133;100000000;100030085;  0,0 +   0;  0,3 +  85;Lübeck-Schlutup, W 51 - Lübeck-Schlutup, Breitling;HL-Schlutup - Schlutup Breitl.
1134;100000000;100120030;  0,0 +   0;  1,2 +  30;Lübeck Hgbf, Awanst Genin - Lübeck-Genin;Lübeck Hgbf, Awanst - L-Genin
1135;99949969;100210018; -0,5 + -30;  2,1 +  18;Lübeck Hgbf, Stw Lw, W 437 - DB-Grenze (St Jürgen,Steinhof);Lübeck Hgbf - Steinhof
1136;100000000;100110005;  0,0 +   0;  1,1 +   5;Lübeck-St Jürgen, Gaswerk II, W 5 - DB-Gr.(St J., Walkmühlenweg);Lübeck Gaswerk - Walkmühlenweg
1137;100000000;100580075;  0,0 +   0;  5,8 +  75;Abzw Brandenbaum, W 11 - Lübeck Konstinbahnhof;Brandenbaum - Lübeck Konstinbf
1140;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - (DB-Grenze) Büchen - Hamburg-Altona               (neue Strecke 6100);ehemalige Strecke 1140
1141;124870003;128580067;248,7 +   3;285,8 +  67;Schwarzenbek, W 602 - Bad Oldesloe;Schwarzenbek - Bad Oldesloe
1142;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - (DB-Grenze) Klein Zecher - Bad Oldesloe, W 72     (neue Strecke 6928);ehemalige Strecke 1142
1150;113110073;116150037;131,1 +  73;161,5 +  37;Lüneburg, W 98 - Büchen, W 16;Lüneburg - Büchen
1151;116610000;126060060;166,1 +   0;260,6 +  60;Dannenberg Ost - Jesteburg;Dannenberg Ost - Jesteburg
1152;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - (DB-Grenze) Lübbow - Dannenberg Ost, W 51         (neue Strecke 6905);ehemalige Strecke 1152
1153;113290042;115780075;132,9 +  42;157,8 +  75;Lüneburg, W 210 - Stelle, W 5;Lüneburg - Stelle
1200;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Niebüll - Westerland (Sylt);ehemalige Strecke 1200
1201;116150005;117520090;161,5 +   5;175,2 +  90;Niebüll, W 12 - Süderlügum (Grenze);Niebüll - Süderlügum
1203;99999978;100110010;  0,0 + -21;  1,1 +  10;Husum - Husum Außenhafen;Husum - Husum Außenhafen
1204;100460034;102180000;  4,6 +  34; 21,8 +   0;Husum, Abzw Hörn, W 11 - Tönning Hafen;Husum, Abzw Hörn - Tönning
1205;102100075;104370023; 21,0 +  75; 43,7 +  23;Tönning, W 1 - Bad St Peter-Ording;Tönning - Bad St Peter Ording
1206;100010095;102380096;  0,1 +  95; 23,8 +  96;Heide (Holst), W 12 - Büsum;Heide - Büsum
1207;100320020;101410041;  3,2 +  20; 14,1 +  41;Weddinghusen - Hemme;Weddinghusen - Hemme
1210;103010007;123760081; 30,1 +   7;237,6 +  81;Elmshorn, W 104 - Westerland (Sylt);Elmshorn - Westerland
1211;103290000;103450000; 32,9 +   0; 34,5 +   0;Elmshorn - Altenmoor;Elmshorn - Altenmoor
1212;99999926;100060090;  0,0 + -73;  0,6 +  90;Elmshorn - Elmshorn Hafen;Elmshorn - Elmshorn Hafen
1213;99979956;100150021; -0,2 + -43;  1,5 +  21;Glückstadt - Glückstadt Hafen;Glückstadt - Glückstadt Hafen
1214;99959967;101580072; -0,4 + -32; 15,8 +  72;Wilster, 65W206 - Brunsbüttel;Wilster - Brunsbüttel
1215;99959983;101220079; -0,4 + -16; 12,2 +  79;St Michaelisdonn, W 11 - Brunsbüttel Nord;St Michaelisdonn - Brunsbüttel
1216;100020077;100830017;  0,2 +  77;  8,3 +  17;St Michaelisdonn - Marne;St Michaelisdonn - Marne
1217;100030059;101270061;  0,3 +  59; 12,7 +  61;Marne, W 11 - Friedrichskoog III;Marne - Friedrichskoog
1218;99999902;100770070;  0,0 + -97;  7,7 +  70;Itzehoe Alsen, W 106 - Lägerdorf;Itzehoe Alsen - Lägerdorf
1220;100070010;110550093;  0,7 +  10;105,5 +  93;Hamburg-Altona - Kiel Hbf;Hamburg-Altona - Kiel
1221;105200011;107380055; 52,0 +  11; 73,8 +  55;Wrist, W 3 - Itzehoe, W 17;Wrist - Itzehoe
1222;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Hamburg-Altona Kai - Hamburg-Altona;ehemalige Strecke 1222
1223;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Hamburg-Altona Kai - Gl 83;ehemalige Strecke 1223
1224;100080089;100970013;  0,8 +  89;  9,7 +  13;Hamburg-Altona, W 732 - Hamburg-Blankenese;Hamburg-Altona - HH-Blankenese
1225;100000058;101590004;  0,0 +  58; 15,9 +   4;Abzw Hamburg Holstenstraße D, W 803 - Pinneberg;HH Holstenstr. D - Pinneberg
1226;100980027;101890059;  9,8 +  27; 18,9 +  59;Blankenese, W 8 - Wedel (Holst);Blankenese - Wedel
1230;100030048;100340012;  0,3 +  48;  3,4 +  12;Abzw Hamburg-Bahrenfeld, W 304 - Hmb-Langenfelde Bbf, W 509;HH-Bahrenfeld - HH-Langenfelde
1231;100070015;100380030;  0,7 +  15;  3,8 +  30;Hamburg-Altona - Hamburg-Langenfelde Bbf, W 35;HH-Altona - HH-Langenfelde
1232;100140081;101040085;  1,4 +  81; 10,4 +  85;Abzw Hamburg Rainweg, W 174 - Hamburg-Eidelstedt, W 341;Abzw Rainweg - HH-Eidelstedt
1233;99999982;100160087;  0,0 + -17;  1,6 +  87;Hmb-Langenfelde Bbf - Hmb-Altona, Paketpostbf;HH-Langenfelde - Altona-Postbf
1234;100050028;102110060;  0,5 +  28; 21,1 +  60;Hamburg-Eidelstedt, W 14 - Hmb-Rothenburgsort, W 182;HH-Eidelstedt - Rothenburgsort
1239;101150073;101430039; 11,5 +  73; 14,3 +  39;Hamburg-Ohlsdorf,W 89 - Hamburg Airport;HH-Ohlsdorf - Hamburg Airport
1240;128660049;129280066;286,6 +  49;292,8 +  66;Hamburg Hbf (S-Bahn), W 55 - Hamburg-Altona, W 751;Hamburg Hbf SB - Hmb-Altona
1241;100000020;101740057;  0,0 +  20; 17,4 +  57;Hamburg Hbf (S-Bahn), W 57 - Hamburg-Poppenbüttel;Hmb Hbf SB - Hmb-Poppenbüttel
1242;105670038;105960038; 56,7 +  38; 59,6 +  38;Hamburg-Wandsbek, W 103 - Abzw Hamburg-Horn, W 204;Hamburg-Wandsbek - HH-Horn
1243;100950099;101140007;  9,5 +  99; 11,4 +   7;Hamburg-Barmbek, W 350 - Hamburg-Ohlsdorf;Hamburg-Barmbek - HH-Ohlsdorf
1244;100000000;102560009;  0,0 +   0; 25,6 +   9;Hamburg Hbf (S-Bahn), W 58 - Aumühle;Hamburg Hbf(S-Bahn) - Aumühle
1245;100020029;100280074;  0,2 +  29;  2,8 +  74;Hmb-Rothenburgsort, W 190 - Hamburg Hbf, W 406;HH-Rothenburgsort - HH Hbf
1246;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - HH-Bergedorf - Hamburg Hgbf;ehemalige Strecke 1246
1247;100030042;100770019;  0,3 +  42;  7,7 +  19;Hamburg-Ohlsdorf - Hamburg-Ochsenzoll;HH-Ohlsdorf - HH-Ochsenzoll
1248;103000000;103060080; 30,0 +   0; 30,6 +  80;Hamburg Süd, W 4 - Abzw Hamburg-Veddel, 43W02;Hamburg Süd - Hamburg-Veddel
1249;100420068;102000000;  4,2 +  68; 20,0 +   0;Hamburg Hasselbrook, W 2 - Bargteheide (Planungstitel);HH Hasselbrook - Bargteheide
1250;135240056;135550064;352,4 +  56;355,5 +  64;Abzw Hamburg Oberhafen, W 4330 - Hamburg Hbf, W 442;HH Oberhafen - Hamburg Hbf
1251;100000000;100520000;  0,0 +   0;  5,2 +   0;Hmb-Waltershof - Hmb-Finkenwerder;HH-Waltershof - Finkenwerder
1252;99999992;100290092;  0,0 +  -7;  2,9 +  92;Hamburg Unterelbe, Stw Huf, W 3003  - Hmb Unterelbe Seehafen;Hamburg Unterelbe - Seehafen
1253;100050024;101690050;  0,5 +  24; 16,9 +  50;Hamburg Süderelbbrücke, W 1 - Hmb-Waltershof Dradenau;HH Süderelbbr. - Dradenau
1254;100050034;100100026;  0,5 +  34;  1,0 +  26;Hamburg-Wilhelmsburg, W 4206 - Hamburg Hohe Schaar Süd, W 1;HH-Wilhelmsbg. - Hohe Schaar S
1255;100000000;101330051;  0,0 +   0; 13,3 +  51;Maschen Rbf, W 1219 - Hamburg Süd;Maschen Rbf - Hamburg Süd
1256;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Hmb-Harburg, Po 340 - Hmb-Harburg, Nordkopf;ehemalige Strecke 1256
1257;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Hmb-Harburg - Hmb-Harbg, Nordkopf;ehemalige Strecke 1257
1258;99989954;100120064; -0,1 + -45;  1,2 +  64;Hmb Unterelbe Seehafen, W 23 - Hmb Unterelbe Lotsehafen;HH-Unterelbe - HH-Lotsehafen
1259;134180065;134390082;341,8 +  65;343,9 +  82;Hmb-Harburg, W 47 - Hmb-Harbg, Nordkopf, W 124 , Gl. 1 + 4;Hmb-Harburg, W 47 - Nordkopf
1260;99989947;102560031; -0,1 + -52; 25,6 +  31;Hesedorf - Stade, W 3;Hesedorf - Stade
1261;100000000;100180080;  0,0 +   0;  1,8 +  80;Buxtehude, W 400 - Buxtehude Ost;Buxtehude - Buxtehude Ost
1262;100000041;100180028;  0,0 +  41;  1,8 +  28;Stade - DB-Grenze (Stadersand, NWK);Stade - DB-Gr.(Stadersand NWK)
1263;99919937;100890039; -0,8 + -62;  8,9 +  39;Stade, W 102 - Bützfleth;Stade - Bützfleth
1264;99999966;100320062;  0,0 + -33;  3,2 +  62;Cuxhaven, Po II, W 403 - Cuxhaven Amerika Bahnhof;Cuxhaven - Amerika Bahnhof
1265;100000000;100370010;  0,0 +   0;  3,7 +  10;Cuxhaven, Stw Cs, W 51 - Neuer Fischereihafen;Cuxhaven - Cux-Fischereihafen
1266;100000000;100070018;  0,0 +   0;  0,7 +  18;Bützfleth, W 219 - DB-Grenze(Bützfleth, DOW-VAW);Bützfleth - Bützfleth DOW-VAW
1267;100000000;100030000;  0,0 +   0;  0,3 +   0;Stadersand - DB-Grenze (Stadersand,NWK-KKW);Stadersand - Stadersand NWK
1268;100000000;100080012;  0,0 +   0;  0,8 +  12;Hamburg-Neugraben - Verladeanlage Fischbek;Hmb-Neugraben - Fischbek
1269;119040069;119090098;190,4 +  69;190,9 +  98;Buxtehude, W 413 - Buxtehude, W 418;Buxtehude, W 413 - W 418
1270;99999936;100780031;  0,0 + -63;  7,8 +  31;Hamburg Hbf(S-Bahn), W 54 --Hmb Landungsbr.-- - Hmb Diebsteich, W 781;Hmb Hbf SB - Hmb Diebsteich
1271;100060013;102330045;  0,6 +  13; 23,3 +  45;Hamburg Hbf (S-Bahn), W 28 - Hamburg-Neugraben, W 30;Hamburg Hbf SB - Hmb-Neugraben
1272;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Hamburg-Altona - Hamburg Lurup;ehemalige Strecke 1272
1273;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Abzw Harburg Süd - Hamburg-Harburg;ehemalige Strecke 1273
1274;100000000;100180000;  0,0 +   0;  1,8 +   0;Deinste - Rehnkamp;Deinste - Rehnkamp
1280;99859922;104920040; -1,4 + -77; 49,2 +  40;Buchholz (Nordh), W 105 --Maschen Rbf-- - Abzw Hmb-Allermöhe, W 18;Buchholz - HH-Allermöhe
1281;115470058;116100043;154,7 +  58;161,0 +  43;Abzw Ashausen, 62W1 - Maschen Rbf, W 2200;Abzw Ashausen - Maschen Rbf
1282;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Maschen Rbf - Hamburg-Horn;ehemalige Strecke 1282
1283;128080067;132340076;280,8 +  67;323,4 +  76;Rotenburg (Wümme), W 12 - Buchholz (Nordh.),W 261 (Mittelgleis);Rotenburg - Buchholz
1284;101760073;102180008; 17,6 +  73; 21,8 +   8;Stelle, W 2 - Maschen Rbf, W 1675;Stelle - Maschen Rbf, W 1675
1285;126100029;126130027;261,0 +  29;261,3 +  27;Aumühle, W 805 - Gl 803;Aumühle, W 805 - Gl 803
1286;100040000;100420000;  0,4 +   0;  4,2 +   0;reservierte Strecke - Maschen Rbf - Hamburg-Harburg;reservierte Strecke 1286
1290;99939915;100120035; -0,6 + -84;  1,2 +  35;Hmb-Wilhelmsburg, W 302 - Peute;Hamburg Wilhelmsburg - Peute
1291;128200011;128490030;282,0 +  11;284,9 +  30;Hamburg-Rothenburgsort, W 123 - Abzw Hamburg Ericus, W 712;HH-Rothenburgsort - HH Ericus
1292;135240073;135380094;352,4 +  73;353,8 +  94;Abzw Hamburg Norderelbbrücke, W 340 - Abzw Hamburg Ericus, W 716;HH Norderelbbrücke - HH Ericus
1293;117480084;117590074;174,8 +  84;175,9 +  74;Hamburg-Hausbruch, 31W06 - Hamburg-Hausbruch Mitte, W 814;HH-Hausbruch - HH-Hausb. Mitte
1294;160010030;160200049;600,1 +  30;602,0 +  49;Hamburg-Waltershof Alte Süderelbe, W 210 - Altenwerder Ost;Alte Süderelbe - Altenwerder O
1295;160000000;160170000;600,0 +   0;601,7 +   0;Hamburg-Waltershof Alte Süderelbe, W 184 - Hamb.-W. Hansaport;Alte Süderelbe - Hansaport
1296;149970046;150210017;499,7 +  46;502,1 +  17; Hamburg-Waltershof Alte Süderelbe, W 317 - Hamb.-W. Mühlenwerder;Alte Süderelbe - Mühlenwerder
1297;120670091;120830062;206,7 +  91;208,3 +  62;reservierte Strecke - Hamburg Süd DB-Grenze - Hamburg Süd;reservierte Str. 1297
1300;100010068;109290040;  0,1 +  68; 92,9 +  40;Bremerhaven Wulsdorf, W 5 - Buchholz (Nordheide);Bremerhv-Wulsdorf - Buchholz
1301;99929941;100190007; -0,7 + -58;  1,9 +   7;Bremerhaven-Wulsdorf, W 6 - Bremerhaven Fischereihafen;Bhv-Wulsdorf - Fischereihafen
1302;118080082;118270077;180,8 +  82;182,7 +  77;Bremerhaven-Wulsdorf, W 8 - Brh-Geestemünde;Bhv-Wulsdorf - Bhv-Geestemünde
1303;100000015;100100077;  0,0 +  15;  1,0 +  77;Bremerhaven-Wulsdorf - Brh-Geestemünde;Bremerhav.-Wuls. - Geestemünde
1304;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Bremervörde - Bremervörde Hafen;ehemalige Strecke 1304
1306;118150078;118260072;181,5 +  78;182,6 +  72;Bremerhaven-Wulsdorf, W 34 - Bremerhaven-Wulsdorf, W 102;Bremerhav. Wulsdorf, W34 -W102
1310;119070043;122710039;190,7 +  43;227,1 +  39;Bremerhaven-Speckenbüttel, W 9 - Cuxhaven, W 12;Bhv-Speckenbüttel - Cuxhaven
1311;100020070;101770038;  0,2 +  70; 17,7 +  38;Bremerhaven-Speckenbüttel, W 5 - Bad Bederkesa;Bhv-Speckenbüttel - Bederkesa
1312;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Bremerhaven Seehafen - BD-Grenze (Freihafen);ehemalige Strecke 1312
1314;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Abzw Bremerhaven Nord - Weserport;ehemalige Strecke 1314
1400;100000000;100220009;  0,0 +   0;  2,2 +   9;Brm-Sebaldsbrück, W 61 - Brm-Sebaldsbrück Wbf, Gl 108, W 48;Bremen-Sebaldsbrück, W 61-W 48
1401;99999988;101240031;  0,0 + -11; 12,4 +  31;Bremen-Sebaldsbrück, W 64 - Bremen Rbf, W 2;HB-Sebaldsbrück - Bremen Rbf
1402;100010085;100190057;  0,1 +  85;  1,9 +  57;Abzw Bremen-Hastedt, W 101 - Abzw Bremen-Vahr, W 2;Bremen-Hastedt - Bremen-Vahr
1403;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - (Brm-Sebaldsbrück) Abzw Hastedt - Abzw Vahr;ehemalige Strecke 1403
1404;100530099;101820068;  5,3 +  99; 18,2 +  68;Abzw Bremen Gabelung, W 203 - Sagehorn, W 41;Abzw HB Gabelung - Sagehorn
1410;100080015;100540057;  0,8 +  15;  5,4 +  57;Bremen Hbf, Stw Bgw, W 517 - Bremen Rbf, W 17005;Bremen Hbf - HB Rbf, W 17005
1411;100740090;100950005;  7,4 +  90;  9,5 +   5;Bremen Hbf, Stw Bgw, W 525 - Bremen Rbf, Stw Bvw, W 63;Bremen Hbf - Bremen Rbf, W 63
1412;99979934;100180078; -0,2 + -65;  1,8 +  78;Bremen Hbf, 11W601 - Bremen Hbf, 11W524;Bremen, 11W601 - 11W524
1413;100000096;100020059;  0,0 +  96;  0,2 +  59;Bremen Hbf Bwn - Bremen Zollausschluß;Bremen - Zollausschluß
1414;99979989;100000067; -0,2 + -10;  0,0 +  67;Bremen Hbf Bwn - Bremen Weserbahnhof;Bremen - Weserbahnhof
1415;100000090;100150007;  0,0 +  90;  1,5 +   7;Bremen Neustadt, W 16002 - Bremen-Grolland Streckenw 1415/9149;Bremen Neustadt - HB-Grolland
1420;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Bremen Rbf, Stw Baf - STW Bve;ehemalige Strecke 1420
1421;100850036;101220012;  8,5 +  36; 12,2 +  12;Bremen Rbf, Stw Baf, W 2 - Bremen Rbf, Stw Bve, W 17W001;Bremen Rbf, W 2 - 17W001
1422;99909934;100220071; -0,9 + -65;  2,2 +  71;Bremen Rbf, Stw Bvl, W 345 - Bremen Inlandshafen DB-Grenze;Bremen Rbf - Inlandshafen
1423;99979960;100590049; -0,2 + -39;  5,9 +  49;Bremen-Burg, W 3 - Bremen-Vegesack;Bremen-Burg - Bremen-Vegesack
1424;100000095;100560095;  0,0 +  95;  5,6 +  95;Abzw Bremen Utbremen, 13W001 - Bremen Rbf, W 393;Bremen Utbremen - Bremen Rbf
1425;100030000;100250000;  0,3 +   0;  2,5 +   0;Bremen Inlandshafen, W K11 - Bremen Stahlwerke;Bremen Inlandsh. - Stahlwerke
1426;100320029;100430029;  3,2 +  29;  4,3 +  29;Bremen Rbf, W 147 - Bremen Rbf, W 322;Bremen Rbf, W 147 - W 322
1500;100000000;104510087;  0,0 +   0; 45,1 +  87;Oldenburg (Oldb) Hbf - Bremen Hbf, W 110;Oldenburg - Bremen
1501;100040047;103140027;  0,4 +  47; 31,4 +  27;Oldenburg (Oldb) Hbf, W 113 - Brake (Unterweser), W 2;Oldenburg - Brake
1502;100090032;110870093;  0,9 +  32;108,7 +  93;Oldenburg (Oldb) Hbf, W 171 - Osnabrück-Eversburg, W 3;Oldenburg - Osnabrück
1503;99899997;105020043; -1,0 +  -2; 50,2 +  43;Hude, W 32 - Nordenham-Blexen;Hude - Nordenham
1504;100030038;100030099;  0,3 +  38;  0,3 +  99;Essen (Oldb), W 1 - NE-Strecke 9201 (Essen (Oldb));Essen (Oldb) - NE-Strecke 9201
1510;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - (Wüsting)Abzw Oldb.Hemmelsberg - Oldenburg Rbf;ehemalige Strecke 1510
1511;100000019;100240000;  0,0 +  19;  2,4 +   0;Abzw Oldenb.-Hemmelsberg, W 502 - Abzw Oldenb. (Oldb)Tweelbäke, W 511;OL-Hemmelsberg - OL Tweelbäke
1512;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Oldenburg Rbf - Oldenburg Rbf Stw F 1;ehemalige Strecke 1512
1513;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Oldenburg Rbf, Stw 6 - Stw R 2;ehemalige Strecke 1513
1514;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Oldenburg Rbf, Stw R 4 - Stw F 5;ehemalige Strecke 1514
1520;100080042;105550012;  0,8 +  42; 55,5 +  12;Oldenburg (Oldb) Hbf, W 5 - Leer (Ostfriesl), W 38;Oldenburg - Leer
1521;100040051;106330020;  0,4 +  51; 63,3 +  20;Cloppenburg, W 10 - Westerstede-Ocholt, W 1;Cloppenburg - Westerst.-Ocholt
1522;100000000;105230059;  0,0 +   0; 52,3 +  59;Oldenburg (Oldb) Hbf - Wilhelmshaven;Oldenburg - Wilhelmshaven
1530;99969930;100650095; -0,3 + -69;  6,5 +  95;Varel (Oldb) - Diekmannshausen;Varel - Diekmannshausen
1531;99989959;100180036; -0,1 + -40;  1,8 +  36;Varel (Oldb) - Varelerhafen;Varel - Varelerhaven
1532;100070011;101920074;  0,7 +  11; 19,2 +  74;Varel (Oldb) - Neuenburg (Oldb);Varel - Neuenburg
1533;100400051;100760035;  4,0 +  51;  7,6 +  35;Borgstede - Bramloge;Borgstede - Bramloge
1534;100000000;103010078;  0,0 +   0; 30,1 +  78;Westerstede (Oldb) - Westerstede-Ocholt, W 22;Westerstede - Westerst.-Ocholt
1540;100030036;101290055;  0,3 +  36; 12,9 +  55;Sande, W 69 - Jever;Sande - Jever
1541;100000000;102030040;  0,0 +   0; 20,3 +  40;Jever - Harle;Jever - Harle
1542;100000000;100350052;  0,0 +   0;  3,5 +  52;Wangerooge - Wangerooge Westanleger;Wangerooge - Westanleger
1543;100140035;100360008;  1,4 +  35;  3,6 +   8;Wangerooge Saline, W 41 - Wangerooge Westen;Wangerooge Saline - Westen
1544;100000000;100020045;  0,0 +   0;  0,2 +  45;(Wangerooge) --Verbindungskurve-- - (Westen);Wangerooge(Verb.kurv) - Westen
